player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Julius Peppers,1010,ED,CAR,17,2,0.7,0,0,5,61.6,74.2,79.0,63.9,79.8,61.6,6.3,1,1,149,155,8.1,12,13
Dwight Freeney,1019,ED,DET,9,0,,0,0,11,60.1,68.0,88.0,69.9,37.1,36.7,100.0,1,0,26,27,0.0,0,0
James Harrison,1251,ED,NE,9,1,7.0,0,0,19,59.3,66.0,82.4,80.3,44.0,39.2,33.3,3,0,70,71,4.3,3,5
Terence Newman,1321,CB,MIN,18,6,2.4,0,0,18,63.9,66.6,84.4,58.1,73.0,66.3,10.5,2,1,188,192,3.7,7,11
Terrell Suggs,1326,ED,BLT,16,5,1.1,1,0,3,90.0,81.0,43.6,73.5,77.6,67.8,9.4,3,5,296,306,6.4,19,24
DeAngelo Hall,1729,S,WAS,3,0,7.7,0,0,32,54.5,46.4,80.5,,32.0,36.0,57.1,4,0,47,48,2.1,1,3
Karlos Dansby,1754,LB,ARZ,16,7,3.1,0,0,1,58.2,63.0,64.7,66.3,65.8,59.6,5.5,3,1,350,361,8.6,30,45
Mike Adams,1972,S,CAR,17,5,6.0,0,0,5,80.3,75.9,69.4,58.5,65.5,73.7,11.1,4,3,335,344,4.2,14,27
Adam Jones,2223,CB,CIN,9,0,9.7,1,0,7,56.9,55.9,0.0,,65.7,65.3,0.0,0,5,111,111,0.9,1,7
Thomas Davis Sr.,2231,LB,CAR,16,7,3.4,1,0,5,61.6,64.1,27.3,66.9,66.0,73.2,9.3,4,4,286,295,7.0,20,32
Derrick Johnson,2232,LB,KC,16,9,3.7,0,0,16,78.4,65.1,88.4,47.1,47.2,54.0,16.1,10,0,336,344,7.7,26,43
Lorenzo Alexander,2476,ED,BUF,17,10,3.4,0,1,4,47.2,58.7,36.1,64.2,66.5,44.7,21.1,12,3,301,307,7.3,22,35
