player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Jacob Martin,50152,ED,HST,17,3,0.9,1,0,13,59.0,67.3,74.5,69.9,58.3,47.1,6.7,1,2,301,309,3.3,10,11
Olasunkanmi Adeniyi,50154,ED,TEN,13,1,3.3,0,0,31,65.0,62.9,26.6,66.1,53.8,78.6,0.0,0,2,28,30,10.7,3,4
Tashawn Bower,50170,ED,MIN,5,2,2.0,0,0,18,71.4,51.1,80.0,54.7,40.7,75.3,0.0,0,0,26,26,7.7,2,2
Delontae Scott,50185,ED,PIT,1,0,,0,0,25,,74.2,71.2,72.4,60.0,,,0,0,1,2,0.0,0,0
Malcolm Roach,50191,DI,NO,7,2,2.8,0,0,20,62.4,49.5,50.6,50.7,54.8,73.4,0.0,0,1,58,59,5.2,3,5
LaDarius Hamilton,50192,ED,GB,5,0,4.0,0,0,12,77.3,62.9,78.2,58.8,56.2,72.8,0.0,0,0,24,25,4.2,1,2
Benning Potoa'e,50195,DI,TB,1,0,,0,0,30,,57.0,72.5,53.9,60.0,,,0,0,1,1,0.0,0,0
Arden Key,50201,ED,SF,20,5,4.0,0,0,28,62.9,68.1,18.2,75.4,56.5,57.5,12.5,2,5,120,121,4.2,5,9
Oren Burks,50203,LB,GB,14,3,4.8,0,0,12,62.5,53.7,28.2,62.5,44.4,45.7,7.7,1,1,77,79,6.5,5,9
Rashaan Evans,50213,LB,TEN,12,12,3.3,0,0,31,49.1,44.5,81.5,64.3,41.3,59.9,14.3,5,1,165,168,5.5,9,18
Sharif Finch,50221,ED,NO,2,3,1.0,0,0,20,60.0,66.6,77.3,54.1,67.6,73.4,0.0,0,0,16,17,12.5,2,2
Josh Allen,50235,ED,JAX,16,13,3.8,0,1,15,81.8,78.5,79.6,71.1,69.3,62.3,7.5,4,1,264,270,8.3,22,36
Marquis Haynes,50244,ED,CAR,17,5,2.1,0,0,5,65.7,71.3,54.5,66.7,70.2,81.4,7.7,1,1,109,112,5.5,6,7
Tipa Galeai,50275,ED,GB,6,2,2.9,0,0,12,90.6,77.1,82.0,56.3,79.1,78.3,0.0,0,0,58,59,8.6,5,7
Porter Gustin,50290,ED,CLV,6,2,3.0,0,0,8,60.0,57.1,85.0,58.2,53.2,76.0,0.0,0,0,58,58,5.2,3,4
Marcus Davenport,50291,ED,NO,11,7,2.2,0,1,20,88.2,88.8,74.3,82.0,73.0,72.6,7.7,2,2,132,135,9.8,13,17
Christian Wilkins,50293,DI,MIA,17,22,2.1,0,0,17,60.6,83.3,88.2,70.4,80.8,36.3,11.1,9,0,330,343,10.6,35,50
Marquiss Spencer,50306,DI,DEN,1,0,7.0,0,0,10,,55.5,73.3,58.2,56.6,67.3,0.0,0,0,12,12,0.0,0,1
Xavier Crawford,50326,CB,CHI,5,1,7.0,0,0,6,45.4,46.3,78.7,51.7,54.5,38.9,0.0,0,1,52,55,0.0,0,1
Michael Ojemudia,50327,CB,DEN,2,0,5.0,0,0,10,77.0,77.1,77.3,,67.6,82.5,0.0,0,0,28,29,0.0,0,1
Nik Needham,50356,CB,MIA,17,1,13.1,2,0,17,67.6,66.2,54.3,69.9,52.3,78.9,15.4,2,3,167,170,1.2,2,10
Anthony Averett,50365,CB,BLT,14,3,9.5,4,0,3,55.0,56.3,62.3,55.6,65.0,58.3,16.7,1,7,259,267,0.0,0,2
Aaron Robinson,50370,CB,NYG,6,4,9.8,0,0,21,58.4,62.2,82.1,60.2,75.3,78.6,0.0,0,0,89,90,0.0,0,4
Tre Herndon,50380,CB,JAX,6,0,2.0,1,0,15,35.7,33.3,9.5,45.7,43.6,41.5,33.3,1,2,62,62,1.6,1,2
Isaiah Oliver,50393,CB,ATL,4,1,4.0,0,0,2,76.3,72.6,79.8,48.5,64.0,56.2,20.0,1,0,53,57,3.8,2,3
A.J. Green,50394,CB,CLV,4,0,7.6,0,0,8,90.3,86.2,81.2,,50.4,42.9,16.7,1,1,57,60,0.0,0,5
Jeremy Reaves,50406,S,WAS,5,2,4.4,0,0,32,51.0,56.6,79.0,59.0,70.4,90.4,0.0,0,0,91,91,6.6,6,9
Josh Jackson,50417,CB,KC,2,1,,0,0,16,68.3,64.6,72.7,,60.0,75.1,0.0,0,0,2,2,0.0,0,0
Juan Thornhill,50426,S,KC,20,8,9.3,0,1,16,69.9,70.1,89.8,62.4,66.9,62.3,17.4,8,0,326,336,2.5,8,30
Emmanuel Moseley,50430,CB,SF,14,2,5.6,1,0,28,68.0,69.1,87.0,54.6,68.5,49.0,20.8,5,4,305,309,3.0,9,17
Jalen Davis,50431,CB,CIN,5,0,,0,0,7,71.7,69.3,77.1,,50.2,33.4,,0,0,8,9,0.0,0,0
Blessuan Austin,50434,CB,SEA,4,0,5.5,1,0,29,51.9,51.2,81.1,,48.3,43.5,33.3,1,3,52,55,1.9,1,2
Michael Jackson,50437,CB,SEA,2,0,,0,0,29,86.4,84.4,73.4,,60.7,,,0,0,6,7,0.0,0,0
Sheldrick Redwine,50458,S,MIA,3,0,4.0,0,0,17,28.2,27.2,76.8,59.1,64.6,82.9,0.0,0,0,12,12,8.3,1,1
