player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Thomas Davis Sr.,2231,LB,WAS,7,0,6.0,0,0,32,68.0,54.8,77.5,50.9,40.9,79.3,0.0,0,0,62,63,0.0,0,1
Johnathan Joseph,2969,CB,ARZ,11,2,4.6,0,0,1,63.1,65.4,84.9,55.7,71.7,47.5,10.0,1,1,156,159,1.9,3,7
Domata Peko Sr.,3068,DI,ARZ,6,2,2.0,0,0,1,58.9,46.7,83.8,56.8,44.1,56.4,9.1,1,0,94,96,6.4,6,8
Tramon Williams,3558,CB,GB,6,2,,0,0,12,50.3,52.5,82.5,59.6,64.2,90.0,0.0,0,0,44,44,0.0,0,0
Calais Campbell,4364,DI,BLT,14,5,1.5,0,0,3,65.9,74.7,41.4,73.0,67.5,43.6,14.3,4,3,135,137,14.1,19,19
Brandon Carr,4454,S,DAL,2,0,0.0,0,0,9,49.2,54.4,74.9,,68.7,72.8,0.0,0,1,9,9,11.1,1,1
Malcolm Jenkins,4937,S,NO,18,7,4.9,1,1,20,53.9,64.4,75.5,61.2,83.4,87.0,5.3,3,7,412,418,4.9,20,47
Jason McCourty,5127,CB,NE,16,2,9.5,0,0,19,51.8,55.7,86.1,51.8,71.4,86.6,0.0,0,3,237,244,0.8,2,11
Steve McLendon,5232,DI,TB,18,10,2.3,0,0,30,52.1,67.5,58.7,62.2,71.1,64.4,2.6,1,2,224,229,10.3,23,27
Ndamukong Suh,5527,DI,TB,20,8,2.2,1,1,30,51.1,62.4,28.8,63.7,68.2,39.7,9.5,4,9,277,282,7.6,21,30
Joe Haden,5532,CB,PIT,14,4,11.4,0,0,25,69.6,66.6,86.0,,49.1,45.1,30.0,6,4,319,323,1.6,5,10
Tyson Alualu,5535,DI,PIT,16,12,1.5,0,0,25,73.2,86.6,72.2,78.4,78.8,61.9,5.3,2,1,234,236,7.3,17,24
Brandon Graham,5538,ED,PHI,16,6,1.7,0,0,24,58.4,81.5,57.7,80.8,73.3,29.9,20.5,9,4,312,318,6.4,20,29
Jason Pierre-Paul,5540,ED,TB,20,12,2.7,0,0,30,71.3,66.3,40.2,71.9,52.3,31.7,13.3,6,8,346,353,6.9,24,27
Kareem Jackson,5545,S,DEN,16,14,7.6,0,0,10,81.3,80.4,75.2,48.4,77.6,65.3,12.3,7,1,400,411,3.5,14,36
Devin McCourty,5552,S,NE,16,9,11.7,0,0,19,64.3,65.2,62.1,47.3,69.3,70.7,6.7,2,1,402,411,0.2,1,19
Jerry Hughes,5556,ED,BUF,18,12,2.7,3,0,4,55.9,75.6,49.5,86.5,57.7,41.5,18.2,6,5,291,297,3.8,11,15
Patrick Robinson,5557,CB,NO,7,1,0.8,0,0,20,56.9,61.8,81.7,57.9,79.1,75.0,0.0,0,2,89,89,3.4,3,4
Linval Joseph,5571,DI,LAC,16,15,3.2,0,0,27,57.7,68.7,79.6,67.9,64.0,30.1,9.4,6,1,312,315,9.0,28,43
Carlos Dunlap,5579,ED,SEA,15,5,3.1,0,0,29,48.6,61.9,71.2,64.8,58.9,50.8,17.4,4,3,187,190,5.3,10,14
Sean Lee,5580,LB,DAL,9,7,4.4,0,0,9,56.4,34.8,79.0,53.4,28.8,32.2,25.0,5,0,90,93,4.4,4,8
Corey Peters,5607,DI,ARZ,9,3,3.3,1,0,1,41.2,61.4,51.8,64.7,62.6,45.2,16.7,2,2,139,141,3.6,5,7
Everson Griffen,5624,ED,DET,14,6,3.0,0,0,11,49.4,63.2,27.7,73.6,54.5,60.8,10.3,3,5,193,196,5.2,10,20
Geno Atkins,5643,DI,CIN,5,0,4.0,0,0,7,,54.0,33.8,61.4,44.7,66.8,0.0,0,1,12,12,0.0,0,1
Sherrick McManis,5667,S,CHI,2,0,,0,0,6,30.3,29.6,74.4,60.0,60.0,77.3,,0,0,2,3,0.0,0,0
Tramaine Brock Sr.,5903,CB,DET,1,0,1.0,0,0,11,47.2,49.1,76.6,,60.4,63.9,0.0,0,1,12,12,8.3,1,1
Anthony Levine,6013,S,BLT,5,0,12.0,1,0,3,27.1,28.5,74.7,60.0,68.8,81.9,0.0,0,1,6,6,0.0,0,1
Andrew Sendejo,6118,S,CLV,16,5,8.9,0,1,8,43.2,45.5,44.7,60.8,53.3,50.3,33.3,11,2,360,369,0.3,1,17
Patrick Peterson,6157,CB,ARZ,16,2,10.5,4,0,1,53.1,55.2,69.6,52.5,66.4,64.4,11.1,2,12,395,401,1.3,5,14
Aldon Smith,6159,ED,DAL,16,10,3.0,3,0,9,55.5,66.3,30.9,70.0,64.1,41.3,16.0,8,6,336,341,6.8,23,32
J.J. Watt,6163,ED,HST,16,8,1.2,0,0,13,56.9,85.4,80.0,76.6,81.0,41.9,16.7,9,2,418,427,6.2,26,37
Robert Quinn,6166,ED,CHI,16,4,3.9,0,1,6,37.4,61.6,55.7,66.4,62.8,45.0,5.3,1,3,187,191,3.2,6,14
Ryan Kerrigan,6168,ED,WAS,17,5,4.0,0,0,32,59.5,59.2,61.3,68.8,45.4,53.8,11.1,1,2,156,159,0.6,1,3
Corey Liuget,6170,DI,HST,6,1,0.0,0,0,13,,58.4,80.0,65.8,53.3,70.7,0.0,0,0,48,50,2.1,1,2
Adrian Clayborn,6172,ED,CLV,17,4,1.6,2,0,8,68.4,57.8,65.0,61.8,46.4,60.7,10.0,1,2,132,137,1.5,2,5
Cameron Jordan,6176,ED,NO,18,10,1.6,0,0,20,72.1,84.6,44.3,75.3,86.3,54.6,7.7,4,6,318,324,8.8,28,38
Jimmy Smith,6179,CB,BLT,13,0,9.0,0,0,3,73.3,70.5,17.7,63.6,55.1,50.5,33.3,2,3,122,124,0.8,1,4
Cameron Heyward,6183,DI,PIT,16,12,2.2,0,0,25,61.4,89.5,79.3,79.6,83.0,52.0,6.0,3,2,319,323,8.5,27,35
Jabaal Sheard,6189,ED,NYG,10,3,2.1,0,0,21,56.7,66.5,61.5,62.4,70.0,61.2,0.0,0,1,89,94,9.0,8,11
Brooks Reed,6194,ED,TEN,3,0,6.5,0,0,31,60.0,66.5,78.7,63.5,63.4,74.7,0.0,0,0,30,30,0.0,0,2
Marcus Gilchrist,6202,S,BLT,2,0,5.0,0,0,3,55.8,56.1,73.1,60.0,62.1,78.8,0.0,0,0,4,4,0.0,0,1
Justin Houston,6222,ED,IND,17,4,2.3,1,0,14,56.6,62.2,62.5,63.2,61.1,52.0,19.0,4,3,193,198,4.1,8,13
Jurrell Casey,6229,DI,DEN,3,2,3.3,0,0,10,60.0,74.4,82.1,67.6,70.1,58.4,8.3,1,0,59,62,8.5,5,9
Allen Bailey,6238,DI,ATL,16,1,2.8,0,0,2,56.7,50.9,87.4,60.3,41.1,28.1,20.0,3,0,134,140,7.5,10,11
K.J. Wright,6251,LB,SEA,17,8,3.1,0,0,29,79.2,75.7,78.8,67.3,67.5,56.3,13.5,5,2,359,371,5.3,19,24
Buster Skrine,6289,CB,CHI,12,5,3.9,1,0,6,46.2,52.3,50.6,42.6,86.4,70.3,13.0,3,5,167,173,5.4,9,15
Richard Sherman,6306,CB,SF,5,0,2.7,0,0,28,67.2,67.7,83.1,55.1,66.0,41.3,0.0,0,1,117,120,0.9,1,3
Pernell McPhee,6317,ED,BLT,17,9,3.2,0,0,3,43.2,72.4,57.0,70.0,78.7,32.8,16.2,6,2,151,153,11.9,18,22
Lawrence Guy,6385,DI,NE,14,13,2.4,0,0,19,63.5,68.2,87.4,58.8,67.1,55.4,6.3,3,0,267,272,9.0,24,32
Malcolm Smith,6394,LB,CLV,17,9,6.0,0,0,8,74.7,67.7,84.0,54.4,53.0,66.1,10.3,4,0,172,178,6.4,11,26
Chris Harris Jr.,6457,CB,LAC,9,3,3.8,1,0,27,57.4,61.9,83.9,78.1,68.4,53.1,14.3,2,2,219,221,1.4,3,9
Josh Bynes,6503,LB,CIN,16,21,3.4,0,0,7,60.9,52.5,35.6,64.5,47.7,59.4,12.5,10,2,382,390,8.4,32,49
Nick Bellore,6515,FB,SEA,1,0,,0,0,29,,61.6,60.1,,60.0,,,0,0,1,1,0.0,0,0
Mario Addison,6558,ED,BUF,18,2,2.1,0,0,4,60.1,59.5,66.0,66.6,47.5,70.0,4.3,1,3,251,258,5.6,14,20
Craig Robertson,7003,LB,NO,4,0,0.5,0,0,20,33.2,37.0,74.0,53.4,62.0,25.3,0.0,0,0,11,11,18.2,2,2
Stephon Gilmore,7016,CB,NE,11,2,5.4,1,0,19,58.5,61.0,87.4,56.8,67.9,46.5,20.0,3,6,256,263,1.2,3,10
Dontari Poe,7017,DI,DAL,7,4,3.0,0,0,9,59.5,55.9,84.9,48.6,60.4,32.3,12.5,1,0,131,132,0.8,1,3
Fletcher Cox,7018,DI,PHI,15,13,2.0,0,1,24,53.2,74.1,79.9,70.9,70.9,63.6,2.9,1,1,297,302,5.4,16,21
Michael Brockers,7020,DI,LA,17,12,2.2,0,0,26,57.0,63.9,88.1,61.1,61.8,79.3,0.0,0,0,280,290,9.3,26,37
Bruce Irvin,7021,ED,SEA,2,0,0.7,0,0,29,68.3,68.8,81.8,56.5,73.9,49.2,0.0,0,0,36,37,8.3,3,3
Dre Kirkpatrick,7023,CB,ARZ,14,1,10.5,2,0,1,46.1,49.0,34.7,74.6,71.3,48.6,21.4,3,9,237,241,0.8,2,10
Melvin Ingram III,7024,ED,LAC,7,3,3.0,0,0,27,77.8,72.3,44.8,76.3,53.8,39.4,10.0,1,2,114,116,3.5,4,6
Chandler Jones,7027,ED,ARZ,5,0,1.1,0,0,1,76.8,62.6,61.6,63.1,56.7,29.0,30.0,3,1,114,116,6.1,7,7
Whitney Mercilus,7031,ED,HST,13,3,4.6,0,0,13,39.8,39.5,86.1,53.1,31.9,29.9,31.6,6,0,238,245,2.5,6,10
Derek Wolfe,7040,DI,BLT,16,10,2.2,0,0,3,68.1,68.2,77.1,47.1,82.8,67.0,4.3,2,2,245,246,10.6,26,35
Janoris Jenkins,7043,CB,NO,15,2,3.9,2,0,20,65.5,66.7,64.9,,70.6,53.4,25.0,4,8,314,319,1.6,5,10
Mychal Kendricks,7049,LB,WAS,2,1,3.0,0,0,32,50.2,54.1,72.4,67.9,56.3,78.8,0.0,0,0,23,23,13.0,3,5
Bobby Wagner,7050,LB,SEA,17,19,3.3,0,0,29,69.9,85.1,68.8,86.8,90.3,85.6,4.3,4,2,389,401,10.5,41,69
Tavon Wilson,7051,S,IND,8,1,3.2,0,0,14,64.2,63.6,13.8,57.3,63.9,80.3,14.3,1,1,64,66,6.3,4,5
Lavonte David,7060,LB,TB,20,23,3.1,0,1,30,83.1,78.8,87.0,52.9,73.6,57.1,11.4,8,0,404,413,7.2,29,39
Vinny Curry,7061,ED,PHI,11,1,3.6,0,0,24,63.9,68.6,88.6,70.9,53.1,40.8,28.6,4,0,120,123,5.0,6,9
Casey Hayward Jr.,7064,CB,LAC,14,1,6.6,1,0,27,59.5,59.5,88.1,55.5,54.6,48.2,40.0,4,2,301,306,0.7,2,5
Olivier Vernon,7074,ED,CLV,14,6,2.1,0,0,8,62.0,74.8,64.2,71.6,71.6,47.4,6.5,2,3,291,298,5.5,16,23
Demario Davis,7079,LB,NO,18,21,3.7,1,0,20,65.9,77.8,33.6,82.1,80.5,81.9,5.1,4,4,413,419,6.5,27,54
Tyrone Crawford,7083,DI,DAL,15,6,6.1,0,0,9,56.7,52.6,71.7,68.8,35.9,76.8,0.0,0,1,144,147,3.5,5,9
Akiem Hicks,7090,DI,CHI,16,10,2.2,3,0,6,68.4,65.2,0.0,74.1,63.2,45.9,6.3,3,12,317,325,8.5,27,35
Kyle Wilber,7113,LB,LV,6,1,3.3,0,0,23,46.4,45.8,73.2,58.1,53.2,44.1,20.0,1,0,28,30,3.6,1,3
Mike Daniels,7132,DI,CIN,11,7,4.1,0,0,7,60.0,52.0,85.2,62.9,44.7,62.7,5.3,1,0,169,174,3.6,6,11
Tahir Whitehead,7135,LB,CAR,13,9,3.0,1,0,5,39.9,31.9,37.3,52.0,37.8,55.3,8.6,3,4,204,207,7.8,16,23
Jack Crawford,7151,ED,TEN,16,10,2.7,0,0,31,54.4,53.6,74.1,56.5,53.1,41.9,13.8,4,1,198,202,6.1,12,15
George Iloka,7159,S,MIN,1,0,3.0,0,0,18,39.6,36.3,75.1,,59.1,82.8,0.0,0,0,13,14,0.0,0,1
Danny Trevathan,7177,LB,CHI,17,20,4.7,0,0,6,42.3,39.9,63.1,56.5,42.0,80.3,6.7,5,3,376,387,8.2,31,50
Billy Winn,7190,DI,GB,6,1,3.8,0,0,12,58.1,68.9,77.6,75.4,62.5,71.9,0.0,0,0,17,18,23.5,4,4
Nate Ebner,7193,S,NYG,3,0,,0,0,21,50.1,41.2,74.3,55.0,43.5,26.3,,0,0,8,9,0.0,0,0
Rodney McLeod,7271,S,PHI,13,6,4.7,0,0,24,77.3,70.8,61.1,54.7,57.1,56.8,20.9,9,1,363,370,3.6,13,28
Michael Thomas,7279,S,HST,4,1,7.0,0,0,13,51.4,50.3,77.0,50.6,62.9,84.2,0.0,0,1,7,7,28.6,2,3
Tashaun Gipson Sr.,7288,S,CHI,17,6,5.6,0,0,6,69.9,72.0,86.3,79.3,70.8,72.6,7.7,3,1,440,452,3.6,16,30
