player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Bryan Edwards,28486,WR,ATL,7,9.2,0,60.0,0.0,0,1,0,0.0,0,0,2,0,70.5,65.8,50.7,,50.8,0.0,0,1,10,0.0,0,53,0,3,98.1,52,20.8,11,25.0,5,0,79.2,42,15,11,3.7,5.0,0.29
Luke Farrell,42353,TE,JAX,12,0.5,1,100.0,,0,0,0,0.0,0,3,15,0,72.1,67.0,70.6,78.7,82.6,77.8,21,0,15,37.0,10,27,0,4,59.3,16,14.8,4,108.3,4,0,7.4,2,40,38,9.5,10.0,2.5
David Johnson,9519,HB,NO,5,0.5,0,100.0,,0,0,0,0.0,0,3,20,0,72.1,23.6,51.3,37.4,69.9,0.0,0,0,21,14.3,5,35,0,4,85.7,30,0.0,0,115.6,4,0,5.7,2,47,45,11.3,11.8,1.57
Marcus Jones,55717,CB,NE,5,-4.3,3,100.0,,0,0,0,0.0,0,3,19,0,73.4,89.8,90.7,,90.2,0.0,0,0,48,0.0,0,14,0,4,78.6,11,71.4,10,158.3,4,1,21.4,3,78,95,23.8,19.5,7.09
Ty Montgomery,9527,HB,NE,1,2.8,0,75.0,,0,0,0,0.0,0,1,19,0,70.5,70.1,63.9,82.7,71.8,0.0,0,0,7,35.3,6,17,0,3,64.7,11,0.0,0,119.8,4,1,0.0,0,15,8,2.7,5.0,1.36
Lance McCutcheon,61478,WR,LA,8,14.3,0,0.0,0.0,0,2,0,,0,0,26,0,,,47.8,,47.4,0.0,0,0,0,0.0,0,31,0,0,93.5,29,19.4,6,39.6,4,0,80.6,25,0,0,,,0.0
Ke'Shawn Vaughn,45866,HB,TB,7,-2.8,0,75.0,,0,0,0,0.0,0,1,30,0,72.1,76.9,57.4,69.5,68.2,0.0,0,0,11,28.6,6,21,0,3,66.7,14,4.8,1,84.4,4,0,4.8,1,19,28,9.3,6.3,1.36
Blake Bell,9550,TE,KC,4,6.0,0,75.0,100.0,1,1,0,0.0,0,1,16,0,70.5,65.8,60.7,69.3,61.7,82.4,14,0,17,5.9,1,17,0,3,94.1,16,11.8,2,129.2,4,1,5.9,1,24,9,3.0,8.0,1.5
Devin Asiasi,40294,TE,CIN,9,13.8,0,50.0,,0,0,0,0.0,0,0,7,0,68.3,66.8,45.9,58.6,41.8,88.5,54,0,6,26.2,16,61,2,2,67.2,41,4.9,3,56.3,4,0,4.9,3,5,0,0.0,2.5,0.12
Tim Jones,61669,WR,JAX,15,1.3,2,75.0,,0,0,0,25.0,1,1,15,0,36.8,65.8,50.8,,49.6,1.5,1,0,20,0.0,0,66,0,3,92.4,61,22.7,15,95.8,4,0,75.8,50,30,22,7.3,10.0,0.49
Spencer Brown,57441,HB,CAR,2,0.0,1,50.0,,0,0,0,33.3,1,0,5,0,29.9,73.4,57.6,43.6,42.0,0.0,0,0,9,18.2,4,22,0,2,81.8,18,4.5,1,56.3,4,0,0.0,0,10,12,6.0,5.0,0.56
Keith Kirkwood,48017,WR,NO,5,13.8,0,50.0,50.0,1,2,0,33.3,1,1,20,0,29.9,64.0,54.5,,47.4,1.4,1,0,14,0.0,0,73,1,2,95.9,70,64.4,47,62.5,4,0,34.2,25,18,3,1.5,9.0,0.26
Jesper Horsted,91465,TE,LV,7,6.8,0,75.0,50.0,1,2,0,0.0,0,0,23,0,70.5,65.8,59.6,73.0,57.1,34.3,12,0,9,14.3,5,35,0,3,74.3,26,51.4,18,84.4,4,0,14.3,5,19,5,1.7,6.3,0.73
Juwann Winfree,38275,WR,GB,3,13.5,0,25.0,,0,0,0,50.0,1,1,12,0,29.9,64.0,52.1,,52.3,0.0,0,0,17,0.0,0,28,0,1,92.9,26,57.1,16,44.8,4,0,42.9,12,17,5,5.0,17.0,0.65
Austin Trammell,52195,WR,LA,5,7.0,0,50.0,0.0,0,1,0,0.0,0,1,26,0,68.3,64.0,63.5,68.7,62.3,0.0,0,0,8,5.9,2,34,0,2,88.2,30,52.9,18,57.3,4,0,47.1,16,13,0,0.0,6.5,0.43
Jalen Guyton,34164,WR,LAC,3,28.3,0,50.0,50.0,1,2,0,0.0,0,2,27,0,68.3,64.0,72.3,,67.1,0.0,0,0,54,0.0,0,19,0,2,100.0,19,15.8,3,95.8,4,0,84.2,16,64,8,4.0,32.0,3.37
Penny Hart,13534,WR,SEA,7,7.8,1,75.0,100.0,1,1,2,0.0,0,1,29,0,70.5,65.8,55.5,,59.1,0.0,0,0,15,0.0,0,23,2,3,87.0,20,60.9,14,85.4,4,0,39.1,9,20,12,4.0,6.7,1.0
Simi Fehoko,84424,WR,DAL,4,12.8,0,75.0,50.0,1,2,0,0.0,0,1,9,0,70.5,65.8,55.7,,59.5,0.0,0,0,12,0.0,0,24,1,3,95.8,23,37.5,9,89.6,4,0,62.5,15,24,10,3.3,8.0,1.04
Chris Evans,27303,HB,CIN,8,14.0,0,75.0,100.0,2,2,0,0.0,0,2,7,0,70.5,76.2,72.5,77.5,75.0,0.0,0,0,26,11.8,2,17,1,3,82.4,14,41.2,7,143.8,4,1,41.2,7,38,7,2.3,12.7,2.71
Jalen Virgil,41991,WR,DEN,8,18.3,0,50.0,,0,0,0,0.0,0,2,10,0,68.3,14.3,59.1,,58.5,0.0,0,0,66,0.0,0,45,0,2,95.6,43,22.2,10,135.4,4,1,77.8,35,75,43,21.5,37.5,1.74
Ihmir Smith-Marsette,61324,WR,KC,5,8.7,1,33.3,,0,0,0,50.0,1,0,16,1,28.8,14.4,44.0,70.2,42.1,2.8,1,0,15,2.8,1,36,1,1,88.9,32,27.8,10,50.7,3,0,69.4,25,15,5,5.0,15.0,0.47
Trevon Wesco,42018,TE,CHI,11,4.7,1,66.7,,0,0,0,33.3,1,1,6,0,36.2,65.8,66.7,78.0,53.2,83.6,46,0,23,34.5,19,55,1,2,61.8,34,10.9,6,93.8,3,0,1.8,1,26,14,7.0,13.0,0.76
Tevin Coleman,9506,HB,SF,4,8.0,0,100.0,100.0,1,1,0,0.0,0,2,28,0,70.5,75.4,68.1,29.4,83.1,0.0,0,0,30,5.3,1,19,0,3,89.5,17,21.1,4,158.3,3,1,10.5,2,44,20,6.7,14.7,2.59
Dareke Young,111900,WR,SEA,11,3.3,1,100.0,,0,0,0,0.0,0,3,29,0,72.1,67.0,58.4,71.9,60.6,0.0,0,0,12,6.8,3,44,1,3,84.1,37,31.8,14,115.3,3,0,63.6,28,35,25,8.3,11.7,0.95
D'Ernest Johnson,45734,HB,CLV,4,-0.3,0,100.0,,0,0,0,0.0,0,0,8,0,70.5,71.7,66.1,82.1,58.4,4.2,1,0,7,16.7,4,24,0,3,79.2,19,8.3,2,79.2,3,0,0.0,0,7,8,2.7,2.3,0.37
Quintez Cephus,29614,WR,DET,4,5.3,0,66.7,,0,0,0,0.0,0,1,11,0,68.3,64.0,68.0,,63.6,0.0,0,0,9,0.0,0,25,0,2,84.0,21,28.0,7,78.5,3,0,68.0,17,15,4,2.0,7.5,0.71
Nsimba Webster,48107,WR,CHI,1,7.0,0,66.7,0.0,0,1,0,0.0,0,1,6,1,68.3,13.3,46.6,,48.2,0.0,0,0,8,0.0,0,7,0,2,100.0,7,0.0,0,77.1,3,0,100.0,7,14,5,2.5,7.0,2.0
Adam Prentice,35639,FB,NO,10,-3.3,0,100.0,,0,0,0,0.0,0,1,20,1,70.5,18.2,54.0,76.5,33.6,8.6,3,0,4,37.1,13,35,0,3,60.0,21,5.7,2,79.2,3,0,8.6,3,9,19,6.3,3.0,0.43
Braylon Sanders,61457,WR,MIA,3,13.3,0,66.7,,0,0,0,0.0,0,0,17,1,68.3,13.3,50.6,,48.6,0.0,0,0,13,0.0,0,19,0,2,100.0,19,26.3,5,81.3,3,0,73.7,14,17,4,2.0,8.5,0.89
Isaiah Spiller,99146,HB,LAC,5,-3.3,1,100.0,,0,0,0,0.0,0,0,27,0,70.5,77.0,49.8,22.5,63.6,0.0,0,0,8,26.7,8,30,0,3,73.3,22,3.3,1,84.7,3,0,0.0,0,13,23,7.7,4.3,0.59
Maxx Williams,9488,TE,ARZ,11,4.0,0,100.0,100.0,2,2,0,0.0,0,0,1,0,70.5,65.8,56.6,56.6,49.6,78.9,56,0,7,35.2,25,71,1,3,62.0,44,9.9,7,91.7,3,0,1.4,1,18,6,2.0,6.0,0.41
Michael Burton,9601,FB,KC,12,-0.7,0,66.7,,0,0,0,0.0,0,0,16,0,68.3,72.8,70.4,67.5,71.6,22.2,4,0,9,55.6,10,18,0,2,38.9,7,0.0,0,72.9,3,0,0.0,0,11,8,4.0,5.5,1.57
Jonathan Ward,25859,HB,TEN,2,1.3,1,66.7,,0,0,0,0.0,0,1,31,0,68.3,71.9,73.1,,71.5,0.0,0,0,4,0.0,0,5,0,2,100.0,5,0.0,0,70.1,3,0,20.0,1,7,4,2.0,3.5,1.4
John Brown,8726,WR,BUF,4,44.0,0,33.3,0.0,0,1,0,0.0,0,1,4,0,64.7,61.2,63.3,,62.7,0.0,0,1,42,0.0,0,27,0,1,96.3,26,11.1,3,81.9,3,1,88.9,24,42,0,0.0,42.0,1.62
