player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Chris Godwin,11839,WR,TB,14,10.3,17,75.4,66.7,16,24,1,1.1,1,63,30,0,90.8,82.8,90.7,73.2,90.4,1.6,10,5,71,0.5,3,634,2,86,94.0,596,63.4,402,121.7,114,9,34.9,221,1333,580,6.7,15.5,2.24
Kenny Golladay,11851,WR,DET,16,16.1,4,57.5,63.4,26,41,3,7.1,5,52,11,1,61.5,46.5,79.9,48.3,79.3,0.0,0,5,75,0.3,2,626,6,65,93.5,585,16.0,100,107.9,113,11,84.0,526,1190,303,4.7,18.3,2.03
Michael Gallup,26075,WR,DAL,14,13.5,10,58.9,53.1,17,32,0,16.5,13,51,9,0,29.1,80.8,74.0,,74.4,0.0,0,2,62,0.0,0,541,1,66,94.6,512,13.5,73,102.8,112,6,86.5,468,1107,333,5.0,16.8,2.16
Tyreek Hill,10799,WR,KC,15,11.9,12,67.0,20.0,3,15,0,6.3,5,48,16,0,71.2,83.6,84.5,62.4,86.8,1.3,7,4,57,0.2,1,519,1,75,91.9,477,52.6,273,109.7,112,9,45.3,235,1073,353,4.7,14.3,2.25
D.K. Metcalf,47864,WR,SEA,18,13.9,10,62.2,52.9,18,34,3,11.5,9,46,29,3,46.6,23.1,73.4,,73.2,0.2,1,1,54,0.0,0,661,6,69,92.6,612,11.2,74,116.2,111,8,88.7,586,1119,343,5.0,16.2,1.83
Sammy Watkins,8639,WR,KC,17,10.5,13,62.9,40.0,8,20,1,5.7,4,42,16,2,73.1,27.1,71.6,80.8,69.5,0.9,6,0,68,0.8,5,646,3,66,90.6,585,53.1,343,105.3,105,4,46.0,297,961,385,5.8,14.6,1.64
Cole Beasley,7330,WR,BUF,16,7.8,4,67.6,22.2,2,9,0,7.8,6,39,4,0,64.3,81.4,73.8,70.2,74.3,0.0,0,4,51,0.7,4,540,0,71,94.4,510,75.2,406,94.2,105,6,24.4,132,822,374,5.3,11.6,1.61
Mark Andrews,47436,TE,BLT,16,11.0,7,65.4,32.0,8,25,1,9.3,7,47,3,2,58.3,27.2,88.5,61.1,87.8,19.8,70,4,51,2.0,7,354,3,68,94.1,333,66.1,234,108.3,104,10,13.6,48,891,298,4.4,13.1,2.68
Emmanuel Sanders,5606,WR,SF,20,11.6,7,68.3,47.4,9,19,0,1.4,1,45,28,0,90.4,81.7,77.0,62.4,77.9,0.3,2,7,75,0.2,1,595,8,71,93.4,556,35.1,209,84.6,104,5,64.0,381,940,244,3.4,13.2,1.69
Larry Fitzgerald,1724,WR,ARZ,16,8.0,6,72.1,52.0,13,25,0,0.0,0,40,1,1,90.5,82.0,70.3,64.4,71.6,0.6,4,4,54,0.8,5,619,2,75,92.7,574,86.6,536,91.2,104,4,12.8,79,804,362,4.8,10.7,1.4
Alvin Kamara,11822,HB,NO,15,0.1,16,85.6,0.0,0,5,0,4.3,4,28,20,1,83.0,60.3,68.9,60.6,69.1,0.0,0,1,41,6.1,26,426,2,89,87.8,374,11.5,49,88.6,104,1,14.1,60,567,607,6.8,6.4,1.52
Austin Ekeler,12164,HB,LAC,16,1.2,22,88.5,60.0,3,5,0,2.1,2,42,27,2,90.4,65.7,85.2,56.6,93.6,0.0,0,2,84,8.5,36,425,0,92,85.2,362,12.5,53,124.1,104,8,14.4,61,993,950,10.3,10.8,2.74
Curtis Samuel,11795,WR,CAR,16,14.8,3,52.4,30.0,6,20,0,11.5,7,36,5,0,47.6,82.6,62.7,65.7,63.0,0.0,0,1,44,0.1,1,672,2,54,96.3,647,28.7,193,86.5,103,6,70.7,475,627,159,2.9,11.6,0.97
Tarik Cohen,11874,HB,CHI,16,1.7,12,77.5,75.0,3,4,0,7.1,6,18,6,1,68.4,90.8,60.6,70.6,61.4,3.7,15,1,31,7.1,29,410,0,79,88.0,361,27.3,112,91.0,102,3,13.7,56,456,442,5.6,5.8,1.26
Stefon Diggs,9579,WR,MIN,17,15.6,5,67.7,52.6,10,19,0,9.5,7,45,18,4,69.0,23.9,78.3,,77.6,0.0,0,5,66,0.0,0,521,4,67,92.9,484,16.1,84,111.8,99,7,83.7,436,1208,344,5.1,18.0,2.5
Christian Kirk,47546,WR,ARZ,13,9.7,4,68.7,31.3,5,16,0,4.2,3,31,1,0,80.3,85.1,62.5,66.2,62.0,0.0,0,1,69,0.2,1,539,2,68,93.3,503,41.6,224,95.1,99,3,57.9,312,709,296,4.4,10.4,1.41
Dede Westbrook,11865,WR,JAX,15,7.2,9,68.0,26.3,5,19,1,5.7,4,31,15,0,74.8,67.8,63.5,,63.9,0.2,1,2,39,0.0,0,595,3,66,92.4,550,82.7,492,88.9,97,3,17.1,102,660,312,4.7,10.0,1.2
Leonard Fournette,11759,HB,JAX,15,0.1,24,80.0,50.0,1,2,1,5.0,4,23,15,1,71.9,87.8,64.0,33.6,65.4,0.0,0,1,27,13.7,83,605,2,76,79.8,483,2.0,12,85.2,95,0,5.0,30,522,567,7.5,6.9,1.08
James White,8765,HB,NE,16,2.1,13,81.1,42.9,3,7,0,2.5,2,33,19,1,89.8,88.7,76.5,71.9,85.2,1.1,5,1,59,11.0,48,435,1,77,82.8,360,6.9,30,110.8,95,5,14.9,65,707,602,7.8,9.2,1.96
Danny Amendola,4717,WR,DET,15,8.8,4,66.0,38.5,5,13,0,7.5,5,36,11,0,66.6,84.9,71.5,,70.7,0.2,1,2,47,0.0,0,482,1,62,93.4,450,77.0,371,81.8,94,1,21.6,104,678,223,3.6,10.9,1.51
Deebo Samuel,48274,WR,SF,18,7.9,23,71.3,41.2,7,17,0,13.0,10,40,28,2,40.3,29.6,77.5,75.8,75.3,0.8,4,3,42,0.6,3,491,8,67,91.6,450,25.9,127,100.0,94,3,71.3,350,929,563,8.4,13.9,2.06
A.J. Brown,48327,WR,TEN,19,13.2,18,61.3,29.2,7,24,2,6.6,4,42,31,1,69.4,44.4,81.8,66.2,80.9,0.0,0,2,91,0.2,1,487,4,57,94.7,461,12.5,61,122.8,93,8,87.5,426,1115,498,8.7,19.6,2.42
Austin Hooper,10715,TE,ATL,13,7.2,8,80.6,66.7,12,18,0,2.6,2,41,2,0,88.9,81.8,78.3,65.0,80.5,48.5,265,2,35,6.4,35,546,3,75,87.5,478,42.9,234,114.5,93,6,8.2,45,787,323,4.3,10.5,1.65
Chosen Anderson,11254,WR,NYJ,16,15.8,4,56.5,47.6,10,21,0,5.5,3,35,22,1,75.5,42.4,68.7,,68.6,0.0,0,3,92,0.0,0,615,3,52,92.5,569,19.5,120,88.9,92,5,80.5,495,778,183,3.5,15.0,1.37
Terry McLaurin,48229,WR,WAS,14,14.6,7,63.7,60.0,15,25,0,10.8,7,43,32,0,51.9,80.4,85.7,,86.5,0.0,0,1,75,0.0,0,485,1,58,92.6,449,23.5,114,118.3,91,7,76.5,371,919,222,3.8,15.8,2.05
Calvin Ridley,48262,WR,ATL,13,13.9,4,69.2,50.0,11,22,1,4.5,3,47,2,0,78.4,47.0,74.9,,74.8,0.0,0,2,36,0.0,0,555,4,63,92.1,511,11.7,65,115.9,91,7,87.9,488,866,141,2.2,13.7,1.69
Marvin Jones Jr.,7158,WR,DET,13,13.7,6,68.9,64.5,20,31,1,4.6,3,41,11,0,77.7,80.6,72.9,,74.6,0.5,3,5,47,0.0,0,546,3,62,93.2,509,34.2,187,105.7,90,9,65.0,355,779,112,1.8,12.6,1.53
Chris Conley,9509,WR,JAX,16,14.6,7,53.4,33.3,7,21,0,13.0,7,36,15,0,43.8,79.2,62.7,67.9,62.0,0.2,1,0,70,0.3,2,629,2,47,92.8,584,11.6,73,102.2,88,5,88.2,555,775,247,5.3,16.5,1.33
Mohamed Sanu,7084,WR,NE,16,8.0,5,68.2,53.3,8,15,1,9.1,6,31,19,0,53.6,59.3,58.5,,58.6,0.2,1,4,28,0.0,0,565,1,60,92.4,522,61.2,346,72.7,88,2,37.9,214,531,201,3.4,8.9,1.02
Diontae Johnson,33441,WR,PIT,16,9.5,18,68.6,33.3,2,6,0,4.8,3,31,25,3,76.6,23.1,67.9,,68.8,0.0,0,2,45,0.0,0,453,7,59,93.2,422,12.6,57,101.9,86,5,87.4,396,680,311,5.3,11.5,1.61
Tyler Higbee,10744,TE,LA,15,6.6,7,80.2,62.5,5,8,0,2.8,2,36,26,0,81.1,81.4,86.1,63.6,90.1,76.7,309,1,33,25.1,101,403,0,69,70.0,282,9.4,38,109.0,86,3,13.6,55,734,401,5.8,10.6,2.6
Dallas Goedert,47272,TE,PHI,16,6.4,8,75.6,40.0,6,15,0,5.8,4,37,24,2,67.9,27.0,82.7,71.6,79.1,53.2,261,3,28,13.2,65,491,4,65,81.7,401,35.6,175,102.9,86,5,9.4,46,680,372,5.7,10.5,1.7
Mike Williams,11762,WR,LAC,15,18.3,3,57.6,54.5,18,33,0,10.9,6,41,27,0,37.7,79.4,74.1,64.5,74.6,0.0,0,8,56,0.2,1,567,2,49,92.6,525,36.3,206,67.8,85,2,63.7,361,1001,200,4.1,20.4,1.91
Sterling Shepard,10674,WR,NYG,10,10.2,7,68.7,42.1,8,19,1,5.0,3,29,21,0,75.9,81.1,75.8,67.1,73.8,1.0,4,4,36,0.2,1,417,2,57,93.5,390,46.8,195,80.2,83,3,52.0,217,576,184,3.2,10.1,1.48
Jason Witten,1384,TE,DAL,16,6.5,0,76.8,50.0,6,12,1,8.7,6,27,9,1,60.5,45.4,59.4,55.4,57.7,48.5,253,0,33,8.8,46,522,1,63,85.4,446,43.3,226,109.2,82,4,8.2,43,529,178,2.8,8.4,1.19
Greg Olsen,3647,TE,CAR,14,9.2,1,64.2,33.3,5,15,0,1.9,1,34,5,0,87.4,79.8,66.9,70.1,68.7,26.3,137,2,41,9.4,49,521,0,52,86.9,453,52.6,274,84.2,81,2,16.7,87,597,219,4.2,11.5,1.32
Golden Tate,5585,WR,NYG,11,10.8,6,60.5,51.4,19,37,0,5.8,3,30,21,1,72.5,84.0,74.0,,72.7,0.2,1,5,64,0.0,0,453,1,49,93.4,423,84.3,382,86.2,81,6,15.5,70,676,291,5.9,13.8,1.6
Anthony Miller,48160,WR,CHI,16,10.2,2,64.2,35.7,5,14,2,7.1,4,34,6,0,66.1,40.7,66.0,,67.9,2.2,11,2,35,0.0,0,493,5,52,94.7,467,77.7,383,87.3,81,2,19.9,98,656,225,4.3,12.6,1.4
Darius Slayton,25578,WR,NYG,14,14.4,5,60.0,48.0,12,25,0,5.9,3,32,21,0,70.9,81.4,70.3,,70.5,0.0,0,4,55,0.0,0,503,2,48,93.6,471,4.4,22,103.1,80,8,95.6,481,740,199,4.1,15.4,1.57
Corey Davis,11760,WR,TEN,18,12.9,7,61.3,58.8,10,17,1,5.8,3,37,31,1,72.4,37.4,70.4,68.1,70.6,0.8,4,1,38,0.2,1,505,4,49,93.1,470,26.9,136,95.3,80,3,72.3,365,669,239,4.9,13.7,1.42
Mike Gesicki,47153,TE,MIA,16,11.3,0,63.8,40.9,9,22,0,3.8,2,25,17,1,80.5,38.8,60.5,66.6,60.5,17.6,101,1,34,2.4,14,573,1,51,90.9,521,71.0,407,100.5,80,5,11.0,63,570,184,3.6,11.2,1.09
Randall Cobb,6216,WR,DAL,15,10.2,10,69.6,63.6,7,11,0,14.1,9,40,9,2,29.1,34.2,69.9,68.6,70.9,1.2,6,3,59,0.4,2,499,2,55,94.0,469,91.8,458,100.6,79,3,7.0,35,828,334,6.1,15.1,1.77
Auden Tate,48192,WR,CIN,12,12.9,5,51.3,48.1,13,27,0,11.1,5,29,7,1,51.0,78.1,70.5,81.3,70.0,0.2,1,2,33,1.6,7,437,2,40,93.6,409,26.5,116,69.1,78,1,73.2,320,575,137,3.4,14.4,1.41
Will Fuller V,10655,WR,HST,12,14.4,3,69.2,61.5,8,13,0,11.5,7,31,13,1,48.1,39.4,75.2,64.5,73.9,0.0,0,3,54,0.2,1,410,2,54,94.4,387,31.7,130,97.1,78,3,68.3,280,759,244,4.5,14.1,1.96
James Washington,47792,WR,PIT,15,15.9,3,57.1,56.3,9,16,0,10.2,5,31,25,1,53.7,32.1,69.3,73.1,68.5,1.3,6,5,79,0.4,2,448,3,44,93.1,417,26.3,118,75.4,77,3,72.3,324,735,202,4.6,16.7,1.76
Alex Erickson,11107,WR,CIN,16,9.2,4,56.6,25.0,4,16,0,6.5,3,26,7,1,68.8,40.6,67.1,70.5,64.6,0.7,3,3,52,0.7,3,412,0,43,93.2,384,30.8,127,61.8,76,0,68.2,281,529,234,5.4,12.3,1.38
Marquise Brown,61568,WR,BLT,15,12.6,8,69.7,40.0,4,10,0,5.4,3,30,3,0,73.0,79.6,72.8,,72.6,0.0,0,0,83,0.0,0,405,2,53,95.8,388,34.8,141,129.8,76,7,65.2,264,710,257,4.8,13.4,1.83
Aaron Jones,11937,HB,GB,18,1.9,8,75.7,33.3,1,3,0,6.7,4,21,12,1,70.9,77.1,84.6,67.5,84.3,1.1,5,0,67,17.6,81,461,0,56,76.1,351,5.0,23,111.9,74,4,12.1,56,511,501,8.9,9.1,1.46
Hunter Henry,10669,TE,LAC,12,10.5,0,74.3,62.5,10,16,0,5.2,3,36,27,1,75.4,41.2,73.2,57.3,75.0,27.9,121,1,30,3.5,15,433,5,55,90.1,390,51.7,224,117.6,74,5,20.1,87,652,164,3.0,11.9,1.67
Le'Veon Bell,7829,HB,NYJ,15,0.5,18,89.2,66.7,4,6,0,4.3,3,20,22,1,80.6,86.1,74.1,62.5,77.3,0.0,0,1,23,14.3,71,498,0,66,78.5,391,5.2,26,91.5,74,1,7.6,38,461,454,6.9,7.0,1.18
Dalvin Cook,11796,HB,MIN,16,-1.5,21,84.9,66.7,2,3,0,11.4,8,27,18,2,46.9,50.0,76.1,37.3,59.7,0.8,3,0,31,11.5,44,382,1,62,83.0,317,1.8,7,98.8,73,0,4.7,18,563,649,10.5,9.1,1.78
Duke Johnson Jr.,9510,HB,HST,18,3.2,11,72.2,20.0,1,5,0,1.9,1,20,13,0,86.9,69.4,75.9,54.3,71.2,0.0,0,2,21,10.3,49,475,1,52,84.8,403,3.2,15,91.4,72,3,23.4,111,463,418,8.0,8.9,1.15
Russell Gage,44771,WR,ATL,16,7.2,6,71.0,30.0,3,10,0,3.9,2,25,2,0,78.8,40.3,66.3,,66.4,0.0,0,1,19,0.0,0,403,2,49,93.8,378,67.0,270,87.0,69,1,32.8,132,446,161,3.3,9.1,1.18
Saquon Barkley,45791,HB,NYG,13,0.8,11,75.4,0.0,0,1,1,5.5,3,14,21,1,72.9,83.4,72.2,63.4,57.2,0.0,0,1,65,18.9,92,487,1,52,77.4,377,1.6,8,95.0,69,2,6.0,29,438,448,8.6,8.4,1.16
Alshon Jeffery,7048,WR,PHI,10,11.6,0,62.3,47.1,8,17,0,10.4,5,36,24,0,52.3,78.4,74.8,,75.0,0.0,0,1,38,0.0,0,305,1,43,93.8,286,11.8,36,96.9,69,4,88.2,269,490,136,3.2,11.4,1.71
Zach Pascal,12303,WR,IND,16,12.4,4,59.4,26.3,5,19,1,4.7,2,29,14,0,74.8,81.4,73.7,76.2,71.4,0.4,2,4,37,0.4,2,449,2,41,93.1,418,36.3,163,88.3,69,5,63.0,283,607,234,5.7,14.8,1.45
Jack Doyle,8520,TE,IND,16,7.1,1,62.3,0.0,0,7,0,4.4,2,29,14,1,77.0,34.1,69.2,78.3,65.7,49.1,211,2,23,8.4,36,430,4,43,85.1,366,38.8,167,88.3,69,4,11.2,48,448,223,5.2,10.4,1.22
Ezekiel Elliott,10638,HB,DAL,16,0.7,10,79.4,33.3,1,3,0,10.0,6,21,9,0,54.6,69.9,77.0,50.8,56.2,0.0,0,0,27,17.9,106,591,3,54,78.7,465,6.3,37,102.1,68,2,3.2,19,419,399,7.4,7.8,0.9
JuJu Smith-Schuster,11817,WR,PIT,12,9.8,4,61.8,57.1,8,14,1,12.5,6,23,25,1,45.9,31.2,63.1,,63.0,0.7,3,3,76,0.0,0,406,3,42,91.4,371,66.7,271,83.7,68,3,32.5,132,552,241,5.7,13.1,1.49
Jared Cook,5012,TE,NO,15,11.1,6,71.6,56.3,9,16,1,9.4,5,36,20,0,56.6,79.1,78.3,44.7,80.8,14.1,57,1,61,2.5,10,404,6,48,91.1,368,66.1,267,142.4,67,9,19.8,80,759,277,5.8,15.8,2.06
Jacob Hollister,12051,TE,SEA,13,6.8,2,71.6,40.0,4,10,0,4.0,2,18,29,0,78.7,79.8,64.0,45.2,64.5,37.4,154,2,22,10.4,43,412,4,48,85.0,350,52.2,215,89.9,67,3,10.0,41,412,203,4.2,8.6,1.18
Hunter Renfrow,47509,WR,OAK,13,7.2,10,73.1,46.2,6,13,1,9.3,5,31,23,0,57.5,81.9,75.5,67.0,76.5,0.0,0,1,65,0.7,2,303,3,49,95.7,290,71.9,218,114.3,67,4,28.1,85,605,312,6.4,12.3,2.09
T.Y. Hilton,7092,WR,IND,10,10.4,3,67.2,30.8,4,13,2,4.3,2,24,14,0,76.5,78.6,75.1,,75.4,0.0,0,1,35,0.0,0,298,4,45,92.6,276,28.5,85,107.9,67,5,71.5,213,501,220,4.9,11.1,1.82
Miles Sanders,40555,HB,PHI,17,2.0,7,79.1,50.0,1,2,0,8.6,5,19,24,0,59.5,60.2,61.5,59.7,69.1,0.0,0,0,45,18.7,81,434,1,53,77.6,337,4.6,20,113.7,67,3,4.8,21,517,433,8.2,9.8,1.53
Brandin Cooks,8655,WR,LA,14,14.5,0,62.7,56.3,9,16,0,10.6,5,32,26,0,53.1,79.7,68.1,62.4,66.8,0.0,0,2,57,0.2,1,483,1,42,93.6,452,33.7,163,88.1,67,2,66.0,319,583,170,4.0,13.9,1.29
Jimmy Graham,5619,TE,GB,18,10.4,4,68.2,30.0,3,10,0,6.3,3,27,12,1,69.3,32.9,58.0,71.5,56.9,37.6,189,0,48,4.4,22,502,3,45,87.6,440,44.2,222,109.1,66,3,17.3,87,555,303,6.7,12.3,1.26
Breshad Perriman,9459,WR,TB,14,18.8,2,55.4,43.8,7,16,0,2.7,1,29,30,0,80.4,77.9,72.8,,72.3,0.0,0,4,44,0.0,0,472,2,36,95.1,449,23.9,113,94.7,65,6,76.1,359,645,129,3.6,17.9,1.44
Nelson Agholor,9453,WR,PHI,11,12.4,5,60.0,38.5,5,13,1,7.1,3,17,24,2,61.6,23.4,54.4,,54.9,0.2,1,1,43,0.0,0,438,1,39,92.9,407,65.1,285,84.3,65,3,34.5,151,363,145,3.7,9.3,0.89
Evan Engram,11778,TE,NYG,8,6.5,1,67.7,37.5,6,16,1,6.4,3,23,21,0,69.3,79.4,64.1,67.2,67.8,55.1,184,0,75,5.7,19,334,3,44,88.0,294,33.5,112,103.8,65,3,11.4,38,467,252,5.7,10.6,1.59
Kenny Stills,7926,WR,HST,15,11.4,0,73.4,50.0,7,14,1,6.0,3,33,13,0,70.5,79.1,70.4,71.8,70.4,0.0,0,1,54,0.4,2,490,1,47,94.5,463,38.4,188,127.5,64,5,61.6,302,687,185,3.9,14.6,1.48
Devonta Freeman,8738,HB,ATL,14,1.3,6,92.2,77.8,7,9,1,1.7,1,17,2,1,90.0,57.6,60.8,67.8,69.5,0.0,0,1,28,19.9,89,447,1,59,75.4,337,2.2,10,107.7,64,4,4.9,22,410,343,5.8,6.9,1.22
Tyrell Williams,10154,WR,OAK,14,14.0,4,65.6,30.0,3,10,0,10.6,5,33,23,0,51.4,78.3,66.5,65.6,66.7,0.0,0,3,46,0.2,1,429,2,42,96.0,412,29.1,125,110.9,64,6,70.6,303,651,198,4.7,15.5,1.58
Kenyan Drake,10707,HB,ARZ,14,-0.5,10,76.6,40.0,2,5,0,7.5,4,15,1,0,57.9,65.9,71.2,56.0,65.1,0.5,2,1,26,18.6,74,397,0,49,76.3,303,6.0,24,81.3,64,0,4.8,19,336,416,8.5,6.9,1.11
