player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Michael Thomas,10681,WR,NO,17,8.2,12,83.0,67.6,23,34,1,3.7,6,96,20,1,90.3,67.8,90.4,,90.7,0.0,0,0,49,0.0,0,677,7,156,93.9,636,31.8,215,122.4,188,9,68.2,462,1795,599,3.8,11.5,2.82
DeAndre Hopkins,7808,WR,HST,17,10.8,12,70.8,47.1,16,34,1,4.8,6,77,13,2,83.2,62.9,87.8,,88.1,0.0,0,1,43,0.0,0,726,3,119,93.9,682,37.5,272,106.6,168,7,62.3,452,1373,412,3.5,11.5,2.01
Allen Robinson II,8696,WR,CHI,16,11.7,6,64.1,59.1,26,44,1,3.0,3,63,6,0,90.0,83.5,80.8,65.1,81.1,0.4,3,5,49,0.3,2,671,4,98,93.9,630,41.3,277,88.3,153,7,58.1,390,1147,263,2.7,11.7,1.82
Travis Kelce,7844,TE,KC,19,9.1,18,76.3,53.8,14,26,2,5.7,7,79,16,1,64.9,62.3,86.1,77.4,88.7,33.6,269,0,47,7.5,60,800,9,116,83.6,669,32.5,260,124.8,152,9,33.4,267,1436,489,4.2,12.4,2.15
Julian Edelman,5156,WR,NE,17,9.3,7,67.8,63.2,12,19,0,9.6,11,56,19,3,59.2,39.6,71.4,71.4,72.4,0.3,2,2,44,0.3,2,697,7,103,92.8,647,65.6,457,97.7,152,6,33.9,236,1147,333,3.2,11.1,1.77
Julio Jones,6158,WR,ATL,15,12.3,8,66.4,51.1,23,45,0,5.7,6,77,2,1,85.8,58.3,90.6,,90.3,0.0,0,5,54,0.0,0,610,2,99,93.8,572,22.1,135,95.9,149,6,77.9,475,1394,360,3.6,14.1,2.44
Keenan Allen,7857,WR,LAC,16,10.3,7,70.7,46.2,12,26,0,4.6,5,63,27,0,82.4,84.1,80.8,70.0,81.7,0.3,2,8,45,0.5,3,643,3,104,92.7,596,52.4,337,86.0,147,6,47.3,304,1199,378,3.6,11.5,2.01
Davante Adams,8688,WR,GB,14,10.5,5,68.5,43.8,7,16,1,8.3,9,67,12,2,61.6,31.9,88.0,,88.8,0.0,0,2,65,0.0,0,532,4,100,93.4,497,27.3,145,106.4,146,7,72.6,386,1295,516,5.2,13.0,2.61
Tyler Boyd,10689,WR,CIN,16,9.6,10,63.4,43.8,14,32,0,7.2,7,51,7,2,67.1,30.0,73.0,65.3,72.2,0.3,2,6,47,0.1,1,675,1,90,93.9,634,64.4,435,79.7,142,5,35.3,238,1046,358,4.0,11.6,1.65
Christian McCaffrey,11763,HB,CAR,16,0.4,26,85.9,44.4,4,9,1,4.9,6,58,5,0,82.1,81.4,86.5,75.5,92.4,0.0,0,2,28,15.0,105,699,1,116,81.5,570,8.6,60,101.4,135,4,6.7,47,1005,997,8.6,8.7,1.76
Cooper Kupp,11824,WR,LA,16,7.3,8,71.2,33.3,4,12,0,3.1,3,51,26,3,89.2,22.6,74.6,72.0,76.1,0.2,1,2,66,2.7,17,619,4,94,90.0,557,67.2,416,117.0,132,10,32.6,202,1161,548,5.8,12.4,2.08
Zach Ertz,7816,TE,PHI,16,9.1,6,68.2,53.8,14,26,0,5.3,5,52,24,1,78.3,55.5,72.7,62.0,75.6,37.5,238,1,32,3.8,24,635,3,90,90.4,574,42.8,272,101.2,132,6,19.7,125,960,289,3.2,10.7,1.67
Jarvis Landry,8698,WR,CLV,16,10.5,15,63.8,48.5,16,33,1,5.7,5,55,8,0,75.3,85.0,78.2,,80.0,0.0,0,8,65,0.0,0,627,6,83,91.9,576,61.7,387,82.7,130,6,37.6,236,1174,432,5.2,14.1,2.04
D.J. Moore,48267,WR,CAR,15,11.7,13,66.9,51.7,15,29,0,5.4,5,63,5,2,76.5,35.4,82.2,75.4,80.2,0.2,1,5,52,0.3,2,607,1,87,95.6,580,15.5,94,89.7,130,4,84.3,512,1175,392,4.5,13.5,2.03
Odell Beckham Jr.,8647,WR,CLV,16,13.6,6,56.9,50.0,15,30,3,8.6,7,44,8,0,61.7,53.2,68.7,,69.4,0.0,0,7,89,0.0,0,628,8,74,91.1,572,23.4,147,70.5,130,4,76.6,481,1035,329,4.4,14.0,1.81
Robert Woods,7822,WR,LA,15,8.4,7,69.8,47.4,9,19,1,2.2,2,54,26,0,90.4,85.1,82.2,79.3,80.4,0.3,2,6,48,2.3,15,656,7,90,91.8,602,34.5,226,82.6,129,2,65.1,427,1134,580,6.4,12.6,1.88
Tyler Lockett,9502,WR,SEA,18,13.3,2,74.8,55.0,11,20,0,4.0,4,64,29,1,84.5,70.3,81.9,,83.2,0.9,6,1,44,0.0,0,697,2,95,92.4,644,69.2,482,125.9,127,9,30.0,209,1255,333,3.5,13.2,1.95
John Brown,8726,WR,BUF,16,14.6,10,62.3,42.9,9,21,0,5.0,4,55,4,0,71.3,82.2,74.2,,74.2,0.0,0,3,53,0.0,0,625,0,76,94.2,589,20.3,127,98.1,122,6,79.7,498,1110,236,3.1,14.6,1.88
DeVante Parker,9447,WR,MIA,16,14.7,8,60.5,56.4,22,39,0,6.5,5,58,17,0,64.7,81.7,79.2,,79.8,0.3,2,4,51,0.0,0,675,1,72,94.1,635,23.0,155,105.8,119,9,76.7,518,1202,269,3.7,16.7,1.89
Jamison Crowder,9538,WR,NYJ,16,8.1,10,66.1,50.0,9,18,0,8.2,7,41,22,0,62.7,82.2,73.0,,73.9,0.0,0,5,41,0.0,0,567,1,78,93.3,529,76.2,432,85.9,118,6,22.9,130,834,364,4.7,10.7,1.58
George Kittle,11901,TE,SF,17,5.9,20,79.5,56.5,13,23,1,2.1,2,57,28,1,90.6,58.5,94.4,66.3,94.3,59.0,294,2,61,16.1,80,498,3,93,78.5,391,22.1,110,113.8,117,5,14.7,73,1124,675,7.3,12.1,2.87
Amari Cooper,9437,WR,DAL,16,13.0,6,68.1,38.5,10,26,1,8.1,7,54,9,0,63.1,82.3,84.2,,84.2,0.0,0,2,53,0.0,0,549,6,79,94.5,519,13.7,75,117.3,116,8,86.3,474,1189,232,2.9,15.1,2.29
Courtland Sutton,48164,WR,DEN,16,12.3,16,62.6,56.5,13,23,1,4.0,3,50,10,2,82.1,28.0,83.1,,80.5,0.2,1,2,70,0.0,0,576,1,72,92.9,535,18.8,108,104.7,115,6,81.1,467,1112,361,5.0,15.4,2.08
Darren Waller,9637,TE,OAK,16,7.5,11,78.3,44.4,8,18,0,5.3,5,53,23,1,78.5,56.9,83.2,57.5,86.8,44.7,249,2,75,11.8,66,557,1,90,85.1,474,30.7,171,109.6,115,3,24.6,137,1146,594,6.6,12.7,2.42
D.J. Chark Jr.,47702,WR,JAX,15,12.3,11,64.0,35.3,12,34,0,2.7,2,41,15,0,89.8,82.5,75.2,,75.8,0.3,2,2,69,0.0,0,639,4,73,93.1,595,24.6,157,108.4,114,8,75.1,480,1008,313,4.3,13.8,1.69
Mike Evans,8642,WR,TB,13,15.7,2,58.8,51.7,15,29,0,9.5,7,54,30,0,58.9,81.4,85.7,69.6,85.2,0.2,1,8,67,0.2,1,539,2,67,93.1,502,29.3,158,87.5,114,8,70.5,380,1157,266,4.0,17.3,2.3
