player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jarvis Landry,8698,WR,CLV,16,11.3,7,59.1,50.0,13,26,1,6.9,6,44,8,1,69.6,56.8,74.7,38.5,70.8,0.2,1,2,51,0.2,1,647,3,81,92.1,596,70.5,456,84.7,137,4,28.7,186,976,283,3.5,12.0,1.64
Mike Evans,8642,WR,TB,16,16.5,5,63.7,61.5,16,26,1,7.5,7,69,30,1,55.7,53.8,84.3,65.9,84.2,0.1,1,8,72,0.1,1,680,5,86,93.7,637,17.6,120,97.3,135,8,82.1,558,1524,294,3.4,17.7,2.39
T.Y. Hilton,7092,WR,IND,16,11.8,8,64.9,45.7,16,35,1,4.5,4,61,14,0,81.5,82.9,87.6,,87.0,0.0,0,3,68,0.0,0,612,2,85,93.6,573,27.6,169,109.4,131,7,72.2,442,1415,469,5.5,16.6,2.47
George Kittle,11901,TE,SF,16,7.6,17,68.8,26.3,5,19,1,6.4,6,60,28,0,68.4,83.1,89.7,55.7,90.4,56.8,336,3,85,11.3,67,592,6,88,82.6,489,30.2,179,107.5,128,5,8.8,52,1377,873,9.9,15.6,2.82
Christian McCaffrey,11763,HB,CAR,16,0.9,21,88.5,0.0,0,3,0,0.0,0,41,5,2,91.8,58.7,82.8,62.6,89.1,0.0,0,0,38,15.9,99,621,0,108,79.4,493,9.3,58,112.9,122,6,6.4,40,874,861,8.0,8.1,1.77
Eric Ebron,8645,TE,IND,18,10.6,4,60.7,41.2,14,34,1,8.6,7,43,14,0,54.7,50.9,66.2,72.6,70.5,23.9,135,3,53,1.6,9,564,6,74,92.2,520,57.8,326,108.9,122,14,17.7,100,827,267,3.6,11.2,1.59
Amari Cooper,9437,WR,DAL,17,10.0,5,73.3,72.7,8,11,1,6.4,6,58,9,3,73.3,25.4,76.7,,75.4,0.0,0,3,90,0.0,0,658,1,88,93.2,613,22.0,145,115.8,120,8,78.0,513,1176,493,5.6,13.4,1.92
Odell Beckham Jr.,8647,WR,NYG,12,12.5,20,64.7,29.2,7,24,0,3.8,3,51,21,0,84.0,84.7,90.0,,89.9,0.2,1,4,51,0.0,0,489,2,77,95.1,465,29.4,144,95.6,119,6,70.1,343,1052,318,4.1,13.7,2.26
Golden Tate,5585,WR,PHI,17,7.3,23,68.6,43.5,10,23,0,8.0,7,36,24,2,64.4,31.4,71.1,,70.9,0.4,2,2,67,0.0,0,468,2,81,94.9,444,73.1,342,96.7,118,5,26.1,122,859,441,5.4,10.6,1.93
Kenny Golladay,11851,WR,DET,15,12.5,7,60.9,56.7,17,30,1,4.1,3,56,11,1,81.9,49.4,81.0,,81.3,1.3,8,2,60,0.0,0,610,4,70,93.1,568,29.8,182,98.6,115,5,68.7,419,1063,350,5.0,15.2,1.87
Alvin Kamara,11822,HB,NO,17,1.8,16,83.5,40.0,2,5,0,5.0,5,37,20,0,75.1,91.5,84.1,79.8,89.4,0.5,2,1,42,7.0,31,444,1,96,87.6,389,17.3,77,105.1,115,4,16.0,71,840,757,7.9,8.8,2.16
Saquon Barkley,45791,HB,NYG,16,0.0,31,79.8,42.9,3,7,0,5.2,5,30,21,0,78.1,91.5,85.2,54.0,86.3,0.2,1,1,57,12.8,72,561,1,91,83.8,470,1.4,8,101.1,114,4,6.2,35,721,787,8.6,7.9,1.53
Corey Davis,11760,WR,TEN,16,10.8,8,60.2,44.4,4,9,0,5.8,4,46,31,1,72.2,48.2,76.4,,75.8,0.6,3,1,51,0.0,0,516,2,65,94.2,486,29.8,154,95.1,108,4,69.4,358,891,274,4.2,13.7,1.83
Larry Fitzgerald,1724,WR,ARZ,16,9.9,11,64.5,48.3,14,29,1,4.2,3,39,1,0,81.0,81.4,73.2,,72.3,1.2,7,3,37,0.0,0,561,2,69,94.5,530,74.7,419,91.4,107,6,24.1,135,734,212,3.1,10.6,1.38
Allen Robinson II,8696,WR,CHI,14,12.7,10,60.7,59.3,16,27,2,3.0,2,41,6,1,84.7,38.9,77.7,67.6,78.7,0.8,4,3,45,0.2,1,526,4,65,93.5,492,39.0,205,91.5,107,5,60.3,317,897,254,3.9,13.8,1.82
Alshon Jeffery,7048,WR,PHI,15,11.0,7,71.7,46.4,13,28,0,7.3,6,56,24,1,66.7,50.4,79.0,,77.9,0.0,0,2,52,0.0,0,580,3,76,95.5,554,17.4,101,111.7,106,6,82.6,479,988,300,3.9,13.0,1.78
Tyler Boyd,10689,WR,CIN,14,9.6,6,73.8,43.8,7,16,1,3.8,3,54,7,0,84.0,82.3,84.5,,85.7,1.5,8,0,49,0.0,0,538,2,76,92.9,500,73.2,394,127.8,103,7,24.5,132,1028,422,5.6,13.5,2.06
Adam Humphries,10075,WR,TB,16,6.0,9,73.8,46.2,6,13,1,3.8,3,48,30,0,84.2,87.5,75.2,,74.0,0.3,2,1,51,0.0,0,604,1,76,93.9,567,83.9,507,108.7,103,5,15.2,92,816,433,5.7,10.7,1.44
Sterling Shepard,10674,WR,NYG,16,10.7,6,64.7,39.1,9,23,3,10.8,8,47,21,0,49.8,81.4,67.3,42.3,66.2,0.8,5,2,58,0.2,1,627,6,66,95.7,600,58.7,368,96.5,102,4,40.5,254,872,316,4.8,13.2,1.45
Michael Crabtree,4933,WR,BLT,17,11.3,7,54.9,41.2,7,17,1,16.4,11,37,3,0,29.4,80.0,63.3,,62.0,0.2,1,2,31,0.0,0,574,4,56,93.0,534,13.1,75,82.4,102,5,86.8,498,645,137,2.4,11.5,1.21
Ezekiel Elliott,10638,HB,DAL,17,0.2,10,83.0,40.0,2,5,0,4.6,4,26,9,0,74.7,53.8,75.7,62.4,69.0,0.0,0,0,38,16.3,97,596,3,83,78.5,468,7.4,44,102.4,100,3,3.0,18,618,645,7.8,7.4,1.32
Jared Cook,5012,TE,OAK,16,8.6,7,68.7,45.8,11,24,1,6.8,5,46,23,0,68.4,81.2,75.5,50.1,81.4,46.3,250,4,45,4.3,23,540,5,68,90.7,490,33.1,179,100.4,99,6,20.2,109,896,361,5.3,13.2,1.83
Taylor Gabriel,9002,WR,CHI,17,10.9,6,71.7,50.0,8,16,2,2.7,2,34,6,1,82.3,54.1,68.8,65.3,69.5,0.9,5,2,54,0.2,1,556,4,71,93.5,520,23.0,128,90.7,99,2,75.4,419,725,235,3.3,10.2,1.39
Zay Jones,11792,WR,BUF,16,13.1,1,56.6,28.6,6,21,0,5.1,3,31,4,1,75.9,43.7,62.2,76.9,60.4,0.5,3,5,57,1.8,11,595,1,56,91.6,545,48.6,289,79.2,99,7,50.9,303,652,130,2.3,11.6,1.2
Nelson Agholor,9453,WR,PHI,18,10.3,12,69.4,35.7,5,14,0,5.6,4,31,24,1,75.7,51.4,64.7,66.2,63.4,1.0,7,2,83,0.1,1,703,2,68,94.6,665,54.6,384,97.9,98,4,43.8,308,774,359,5.3,11.4,1.16
Emmanuel Sanders,5606,WR,DEN,12,9.7,7,73.2,27.3,3,11,1,5.3,4,37,10,1,70.8,82.2,81.1,73.4,80.1,0.0,0,2,64,0.2,1,443,3,71,92.3,409,62.3,276,105.5,97,4,36.8,163,868,302,4.3,12.2,2.12
Willie Snead IV,8999,WR,BLT,17,9.0,14,67.0,60.0,6,10,0,7.1,5,39,3,0,63.3,81.6,67.5,66.2,66.9,1.2,6,3,29,0.2,1,509,4,65,92.7,472,83.9,427,78.6,97,1,14.7,75,701,303,4.7,10.8,1.49
Dede Westbrook,11865,WR,JAX,16,9.1,8,68.8,33.3,6,18,0,8.3,6,39,15,2,63.4,42.8,71.3,61.6,70.0,0.0,0,3,61,0.2,1,578,3,66,95.8,554,88.4,511,94.8,96,5,11.2,65,717,363,5.5,10.9,1.29
John Brown,8726,WR,BLT,17,16.7,1,46.8,23.8,5,21,0,13.7,7,28,3,0,39.7,79.2,64.5,,65.1,0.4,2,2,71,0.0,0,544,1,44,93.6,509,23.2,126,82.3,94,5,76.5,416,729,175,4.0,16.6,1.43
Mohamed Sanu,7084,WR,ATL,16,8.2,11,72.5,43.8,7,16,0,1.5,1,41,2,2,90.3,31.2,71.6,,70.7,0.3,2,0,44,0.0,0,599,2,66,94.3,565,75.3,451,115.5,91,4,24.0,144,838,396,6.0,12.7,1.48
Tarik Cohen,11874,HB,CHI,17,3.7,17,81.3,50.0,2,4,0,2.6,2,31,6,1,88.1,30.3,71.4,60.8,82.3,0.3,1,2,70,2.7,10,375,0,74,92.3,346,18.1,68,110.3,91,5,17.1,64,752,548,7.4,10.2,2.17
Calvin Ridley,48262,WR,ATL,16,10.4,3,70.3,41.7,5,12,1,11.1,8,38,2,2,48.5,24.6,68.8,,70.5,0.2,1,2,75,0.0,0,492,1,64,94.5,465,24.0,118,125.8,91,10,75.4,371,821,367,5.7,12.8,1.77
Cole Beasley,7330,WR,DAL,18,7.4,2,76.7,50.0,4,8,1,2.8,2,42,9,0,87.1,86.4,74.6,,73.8,0.0,0,0,32,0.0,0,553,1,69,92.8,513,87.2,482,110.2,90,3,12.5,69,715,234,3.4,10.4,1.39
Chris Godwin,11839,WR,TB,16,12.8,7,65.6,54.2,13,24,0,1.7,1,47,30,4,90.0,18.7,80.4,,79.6,0.4,2,2,48,0.0,0,483,1,59,93.4,451,27.5,133,112.4,90,7,72.0,348,842,247,4.2,14.3,1.87
Rob Gronkowski,5567,TE,NE,16,12.1,6,66.7,52.9,9,17,1,3.2,2,42,19,1,70.3,42.9,75.2,68.9,78.0,37.7,232,3,42,12.5,77,615,6,60,82.9,510,46.0,283,95.3,90,3,15.8,97,873,258,4.3,14.6,1.71
Chosen Anderson,11254,WR,NYJ,14,17.3,2,57.5,29.6,8,27,0,5.7,3,30,22,2,71.8,24.8,68.3,,70.8,0.0,0,4,76,0.0,0,452,4,50,96.7,437,23.5,106,89.8,87,6,76.5,346,752,181,3.6,15.0,1.72
Demaryius Thomas,5547,WR,HST,15,10.7,5,67.8,50.0,7,14,1,10.6,7,37,13,0,51.3,80.3,71.5,,71.3,0.4,2,2,45,0.0,0,495,4,59,92.7,459,33.1,164,100.6,87,5,66.5,329,677,279,4.7,11.5,1.47
Austin Hooper,10715,TE,ATL,16,7.0,7,82.6,64.7,11,17,1,2.7,2,30,2,0,87.3,81.4,67.8,71.2,67.1,46.5,269,1,36,9.8,57,579,4,71,85.0,492,37.0,214,109.3,86,4,14.3,83,660,231,3.3,9.3,1.34
Jordy Nelson,4350,WR,OAK,15,9.3,3,73.3,35.7,5,14,0,1.6,1,36,23,0,90.2,81.6,70.7,73.0,70.2,0.0,0,2,66,0.4,2,557,0,63,94.3,525,34.3,191,100.9,86,3,65.5,365,739,245,3.9,11.7,1.41
Donte Moncrief,8725,WR,JAX,16,13.5,4,56.5,22.7,5,22,1,7.7,4,28,15,1,64.4,50.9,62.3,,62.4,0.0,0,1,80,0.0,0,567,5,48,96.3,546,7.2,41,88.8,85,3,92.8,526,668,233,4.9,13.9,1.22
Jimmy Graham,5619,TE,GB,16,9.7,6,66.3,38.1,8,21,0,3.5,2,32,12,0,75.1,80.0,59.6,51.7,60.2,23.2,142,2,54,2.9,18,613,2,55,91.2,559,62.0,380,87.2,83,2,14.5,89,636,259,4.7,11.6,1.14
David Njoku,11784,TE,CLV,16,9.0,10,67.5,57.1,12,21,0,12.5,8,27,8,0,42.3,79.9,66.3,51.7,65.3,71.3,420,3,66,9.0,53,589,5,56,84.6,498,20.0,118,91.4,83,4,8.1,48,639,315,5.6,11.4,1.28
Todd Gurley II,9443,HB,LA,17,0.6,11,75.9,50.0,3,6,0,12.5,9,27,26,1,39.3,88.2,76.7,75.7,62.0,0.0,0,2,56,14.6,88,603,1,63,80.4,485,15.1,91,100.7,83,4,3.5,21,585,595,9.4,9.3,1.21
Chester Rogers,10918,WR,IND,17,6.7,5,75.6,46.2,6,13,1,12.7,9,33,14,0,36.4,89.5,63.1,,62.9,0.2,1,1,34,0.0,0,479,4,62,95.0,455,90.6,434,96.6,82,2,8.6,41,561,282,4.5,9.0,1.23
Mike Williams,11762,WR,LAC,18,15.6,4,61.7,51.7,15,29,0,5.7,3,42,27,0,72.9,80.7,80.5,,80.3,0.2,1,1,55,0.0,0,488,1,50,93.4,456,30.1,147,127.8,81,10,69.7,340,774,138,2.8,15.5,1.7
Michael Gallup,26075,WR,DAL,18,14.2,3,50.6,30.4,7,23,0,6.8,3,26,9,0,51.8,78.3,62.7,,62.2,0.0,0,2,49,0.0,0,529,1,41,92.1,487,11.9,63,79.4,81,3,88.1,466,644,197,4.8,15.7,1.32
Courtland Sutton,48164,WR,DEN,16,15.6,6,53.2,40.9,9,22,0,17.6,9,30,10,0,29.4,78.6,63.8,,62.5,0.0,0,3,42,0.0,0,574,6,42,92.7,532,16.2,93,84.6,79,4,83.8,481,704,167,4.0,16.8,1.32
Doug Baldwin,6615,WR,SEA,14,12.4,3,67.1,45.0,9,20,0,1.9,1,33,29,0,87.7,79.7,80.6,69.9,80.5,2.4,10,1,42,1.0,4,409,3,53,92.9,380,65.0,266,108.1,79,5,32.5,133,650,162,3.1,12.3,1.71
Nyheim Hines,48103,HB,IND,18,2.5,6,80.8,75.0,12,16,0,6.0,4,29,14,0,66.1,71.7,70.9,70.1,75.2,0.5,2,2,28,6.2,26,419,1,63,88.5,371,8.4,35,87.2,78,2,16.5,69,425,340,5.4,6.7,1.15
Antonio Callaway,48101,WR,CLV,16,14.5,3,55.1,38.5,5,13,0,12.2,6,27,8,1,40.6,46.8,64.0,,63.1,0.2,1,5,71,0.0,0,533,3,43,91.9,490,12.6,67,74.0,78,5,87.2,465,586,233,5.4,13.6,1.2
Jordan Reed,7866,TE,WAS,13,6.7,5,69.2,33.3,4,12,0,3.6,2,26,32,1,81.6,40.2,73.1,32.8,75.2,34.5,129,2,34,4.0,15,374,2,54,91.2,341,44.1,165,87.4,78,2,20.3,76,558,241,4.5,10.3,1.64
Devin Funchess,9474,WR,CAR,14,13.3,2,57.1,37.5,6,16,0,12.0,6,35,5,0,47.5,78.8,68.4,,68.0,0.2,1,4,27,0.0,0,429,0,44,94.6,406,20.5,88,75.1,77,4,79.3,340,549,79,1.8,12.5,1.35
Jalen Richard,11395,HB,OAK,16,1.7,10,88.3,25.0,1,4,0,1.4,1,23,23,0,85.7,46.2,66.6,55.1,82.5,0.0,0,0,32,16.1,54,336,1,68,80.1,269,3.3,11,99.5,77,0,8.0,27,607,516,7.6,8.9,2.26
A.J. Green,6156,WR,CIN,9,13.6,3,59.7,57.1,12,21,1,9.8,5,36,7,2,63.2,23.9,85.2,,84.9,0.0,0,2,38,0.0,0,313,1,46,92.7,290,28.1,88,104.6,77,6,71.9,225,694,152,3.3,15.1,2.39
Kyle Rudolph,6195,TE,MIN,16,7.3,4,84.2,53.8,7,13,1,1.5,1,32,18,0,90.1,81.1,63.6,57.4,65.9,45.0,293,1,44,11.2,73,651,6,64,83.9,546,45.8,298,113.5,76,4,8.6,56,634,245,3.8,9.9,1.16
D.J. Moore,48267,WR,CAR,16,9.6,17,71.1,41.2,7,17,0,6.9,4,32,5,1,67.5,21.4,71.8,64.9,73.7,0.2,1,3,82,0.2,1,461,3,54,93.7,432,33.0,152,96.4,76,2,64.6,298,781,427,7.9,14.5,1.81
Danny Amendola,4717,WR,MIA,15,7.3,2,78.7,60.0,6,10,0,3.3,2,27,17,0,82.8,56.1,66.6,61.4,66.1,0.4,2,3,39,0.2,1,445,2,59,93.3,415,79.6,354,86.4,75,1,19.6,87,575,229,3.9,9.7,1.39
Josh Doctson,10656,WR,WAS,15,15.4,5,58.7,50.0,13,26,0,6.4,3,31,32,0,69.8,78.9,63.3,,63.2,0.0,0,5,32,0.0,0,548,3,44,93.4,512,20.4,112,61.6,75,2,79.6,436,532,127,2.9,12.1,1.04
Theo Riddick,7980,HB,DET,14,0.6,7,82.4,50.0,1,2,0,7.6,5,16,11,0,64.1,85.2,72.3,81.2,73.2,4.5,16,1,20,19.6,70,357,0,61,76.2,272,11.5,41,82.7,74,0,6.2,22,384,414,6.8,6.3,1.41
Tyrell Williams,10154,WR,LAC,18,13.5,2,64.9,57.1,12,21,0,5.9,3,32,27,2,63.9,24.4,65.9,67.9,66.4,0.2,1,5,75,0.4,2,570,4,48,92.6,528,42.8,244,93.1,74,5,57.0,325,756,226,4.7,15.8,1.43
Trey Burton,9185,TE,CHI,16,8.4,1,74.0,37.5,3,8,0,5.3,3,29,6,1,75.3,41.9,69.4,65.7,64.4,33.5,187,2,47,5.6,31,558,4,54,87.8,490,41.8,233,112.2,73,6,23.1,129,569,189,3.5,10.5,1.16
Jermaine Kearse,7428,WR,NYJ,14,9.5,2,51.4,12.5,2,16,1,5.1,2,20,22,0,72.2,77.6,62.7,47.5,61.7,0.0,0,3,29,1.0,4,404,2,37,95.5,386,78.0,315,53.6,72,1,22.0,89,371,123,3.3,10.0,0.96
DeSean Jackson,4363,WR,TB,12,19.6,2,56.9,27.3,3,11,1,4.7,2,31,30,0,74.8,81.0,79.4,,80.8,0.0,0,7,75,0.0,0,361,2,41,94.5,341,16.3,59,73.3,72,4,83.4,301,774,177,4.3,18.9,2.27
Tyler Lockett,9502,WR,SEA,17,14.9,2,85.9,77.8,7,9,0,0.0,0,40,29,1,90.8,72.8,82.3,,84.7,1.0,5,0,53,0.0,0,523,1,61,93.1,487,50.1,262,158.3,71,10,48.9,256,1085,248,4.1,17.8,2.23
David Johnson,9519,HB,ARZ,16,0.6,10,71.4,40.0,2,5,0,12.3,7,22,1,1,34.3,65.1,64.1,71.4,60.4,0.4,2,2,40,17.3,80,463,0,50,77.8,360,3.5,16,90.5,70,3,6.0,28,446,397,7.9,8.9,1.24
T.J. Yeldon,9469,HB,JAX,14,0.9,11,78.6,0.0,0,1,0,12.7,8,21,15,0,41.7,72.4,56.0,48.2,56.3,0.3,1,3,37,18.5,72,390,0,55,79.5,310,1.3,5,96.8,70,4,2.3,9,487,445,8.1,8.9,1.57
Sammy Watkins,8639,WR,KC,12,9.3,8,72.5,37.5,3,8,0,7.4,4,30,16,1,65.6,25.6,71.2,69.0,71.8,1.0,4,0,54,0.3,1,394,2,50,92.6,365,36.3,143,118.9,69,3,62.7,247,695,312,6.2,13.9,1.9
Chris Hogan,6468,WR,NE,19,13.0,1,62.3,44.4,4,9,2,8.5,4,26,19,0,60.7,78.5,54.3,67.0,55.4,0.0,0,2,63,0.3,2,644,5,43,94.7,610,47.2,304,92.1,69,3,52.8,340,590,197,4.6,13.7,0.97
Josh Reynolds,11872,WR,LA,19,13.3,6,55.2,30.8,4,13,0,7.5,3,29,26,0,64.3,78.9,67.4,79.8,66.5,0.6,3,4,33,5.3,25,470,1,37,88.9,418,29.1,137,80.6,67,5,70.0,329,523,167,4.5,14.1,1.25
Dion Lewis,6301,HB,TEN,16,-1.3,16,88.1,50.0,1,2,1,4.8,3,13,31,0,77.3,79.1,65.3,64.8,72.5,0.0,0,1,37,17.4,71,407,1,59,77.4,315,5.7,23,90.3,67,1,5.9,24,400,491,8.3,6.8,1.27
James Conner,11860,HB,PIT,13,-0.4,23,82.1,33.3,1,3,0,6.8,4,20,25,1,69.7,49.6,72.1,64.0,60.8,0.0,0,0,29,14.9,72,483,1,55,78.7,380,9.5,46,102.5,67,1,6.4,31,497,555,10.1,9.0,1.31
Marquez Valdes-Scantling,47809,WR,GB,16,13.8,5,56.7,30.8,4,13,1,9.5,4,23,12,0,56.2,78.5,60.4,68.0,62.1,0.8,4,0,60,0.4,2,507,2,38,93.9,476,46.5,236,95.4,67,2,52.7,267,581,217,5.7,15.3,1.22
Josh Gordon,7618,WR,NE,12,14.4,7,61.2,37.5,6,16,1,10.9,5,30,19,0,51.5,78.3,73.5,64.5,74.6,0.0,0,1,55,0.2,1,403,3,41,94.0,379,10.2,41,112.6,67,4,89.8,362,737,267,6.5,18.0,1.94
Vance McDonald,7836,TE,PIT,15,6.0,14,74.6,33.3,3,9,0,7.4,4,32,25,2,64.9,24.3,69.3,66.5,69.6,68.0,308,1,75,5.5,25,453,6,50,89.4,405,21.2,96,115.9,67,4,8.8,40,610,392,7.8,12.2,1.51
Kenyan Drake,10707,HB,MIA,16,2.1,6,80.3,50.0,1,2,0,8.6,5,23,17,0,59.8,57.3,65.6,33.2,65.1,0.0,0,0,52,13.0,48,368,0,53,81.5,300,5.4,20,122.0,66,5,10.3,38,477,437,8.2,9.0,1.59
Ricky Seals-Jones,12020,TE,ARZ,15,9.7,2,51.5,35.7,5,14,1,10.5,4,14,1,0,52.5,77.1,52.8,83.6,54.3,27.6,112,3,40,4.7,19,406,4,34,90.1,366,47.5,193,52.8,66,1,23.9,97,343,99,2.9,10.1,0.94
Christian Kirk,47546,WR,ARZ,12,10.0,4,66.2,46.2,6,13,0,6.5,3,21,1,0,68.6,87.0,70.3,,70.1,0.5,2,4,75,0.0,0,364,0,43,94.5,344,30.8,112,84.8,65,3,68.7,250,590,229,5.3,13.7,1.72
Kelvin Benjamin,8663,WR,KC,15,16.6,1,39.1,23.8,5,21,2,16.7,5,16,16,0,34.7,75.7,57.8,,57.8,0.0,0,7,40,0.0,0,353,5,25,93.8,331,9.1,32,25.0,64,1,90.9,321,380,55,2.2,15.2,1.15
Keelan Cole,51593,WR,JAX,16,10.2,1,59.4,77.8,7,9,0,13.6,6,25,15,2,33.0,22.1,59.4,61.6,59.3,0.6,3,2,35,0.2,1,491,3,38,96.3,473,21.2,104,75.7,64,1,78.0,383,491,138,3.6,12.9,1.04
Melvin Gordon III,9448,HB,LAC,14,-0.1,11,81.3,25.0,1,4,0,11.9,7,22,27,1,47.9,82.9,83.6,48.1,60.6,0.0,0,1,66,15.6,53,339,0,52,80.5,273,1.5,5,113.8,64,4,11.8,40,504,550,10.6,9.7,1.85
Evan Engram,11778,TE,NYG,11,5.5,6,71.4,20.0,2,10,0,6.3,3,22,21,0,62.4,79.5,76.3,70.4,75.7,38.7,135,0,54,4.9,17,349,2,45,90.3,315,45.0,157,115.6,63,3,14.9,52,577,390,8.7,12.8,1.83
C.J. Uzomah,9590,TE,CIN,16,7.8,3,68.3,53.8,7,13,1,8.5,4,21,7,0,52.6,78.4,56.8,56.3,54.4,42.6,232,0,29,10.1,55,545,5,43,82.6,450,44.2,241,103.9,63,3,8.6,47,439,201,4.7,10.2,0.98
Curtis Samuel,11795,WR,CAR,13,12.2,9,62.9,50.0,9,18,0,7.1,3,24,5,0,65.1,44.4,71.5,,71.9,0.0,0,2,53,0.0,0,318,2,39,93.7,298,24.8,79,101.1,62,5,75.2,239,494,116,3.0,12.7,1.66
