player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
DeAndre Hopkins,7808,WR,HST,17,12.2,12,71.0,55.6,25,45,1,0.0,0,85,13,2,92.1,42.1,92.0,,92.1,0.0,0,3,49,0.0,0,732,3,120,93.4,684,19.7,144,115.2,169,11,80.3,588,1609,397,3.3,13.4,2.35
Michael Thomas,10681,WR,NO,18,8.3,18,83.9,57.1,20,35,2,2.1,3,83,20,2,91.3,46.5,91.6,64.9,91.9,0.2,1,1,72,0.2,1,647,6,141,94.3,610,32.0,207,124.0,168,10,67.9,439,1612,574,4.1,11.4,2.64
Zach Ertz,7816,TE,PHI,18,7.6,2,75.0,43.8,14,32,1,4.5,6,72,24,1,83.9,62.7,75.7,72.2,79.3,31.5,230,6,34,6.8,50,731,4,126,87.8,642,49.5,362,96.9,168,8,18.6,136,1265,409,3.2,10.0,1.97
Julio Jones,6158,WR,ATL,16,14.3,11,68.1,50.0,20,40,0,6.6,8,79,2,2,71.9,38.6,90.9,,90.7,0.0,0,3,58,0.0,0,605,1,113,94.5,572,20.8,126,109.4,166,8,79.2,479,1677,452,4.0,14.8,2.93
Antonio Brown,5718,WR,PIT,15,11.6,14,63.4,19.2,5,26,0,1.0,1,64,25,0,91.3,84.1,79.3,,79.0,0.0,0,11,78,0.0,0,716,3,104,93.6,670,20.5,147,90.4,164,15,79.5,569,1297,494,4.8,12.5,1.94
Davante Adams,8688,WR,GB,15,11.7,9,68.5,30.0,6,20,0,4.3,5,64,12,0,85.1,84.3,87.8,,87.5,0.0,0,0,57,0.0,0,695,2,111,94.0,653,20.7,144,121.6,162,13,79.1,550,1386,477,4.3,12.5,2.12
JuJu Smith-Schuster,11817,WR,PIT,16,9.3,7,68.9,51.2,21,41,0,5.1,6,68,25,1,80.2,60.6,81.8,,81.2,0.0,0,4,97,0.0,0,728,2,111,94.0,684,61.0,444,100.6,161,7,39.0,284,1426,660,5.9,12.8,2.08
Travis Kelce,7844,TE,KC,18,9.3,11,73.4,64.0,16,25,0,7.4,9,74,16,2,60.7,38.6,87.9,72.7,90.3,36.8,276,3,43,6.0,45,751,6,113,87.2,655,42.5,319,118.6,154,11,20.4,153,1467,643,5.7,13.0,2.24
Robert Woods,7822,WR,LA,19,10.9,8,67.8,47.8,11,23,0,2.8,3,74,26,0,90.7,85.9,86.4,79.5,86.5,1.4,11,3,39,1.8,14,763,5,103,92.7,707,56.0,427,101.6,152,6,42.6,325,1391,492,4.8,13.5,1.97
Adam Thielen,8288,WR,MIN,16,10.0,6,75.8,38.9,7,18,0,4.2,5,74,18,1,90.0,62.9,89.4,77.7,89.4,0.9,6,3,68,0.4,3,694,1,113,94.4,655,56.6,393,115.4,149,9,42.5,295,1373,419,3.7,12.2,2.1
Tyreek Hill,10799,WR,KC,18,15.9,12,66.2,59.1,13,22,1,5.9,6,65,16,0,69.8,70.8,89.0,,89.8,2.0,14,6,75,0.0,0,703,6,96,92.9,653,44.4,312,113.4,145,12,50.2,353,1593,551,5.7,16.6,2.44
James White,8765,HB,NE,19,1.8,8,74.8,33.3,2,6,0,6.1,7,46,19,0,79.3,90.2,71.3,70.5,83.9,0.7,4,1,42,9.1,51,560,1,107,86.1,482,6.6,37,104.1,143,7,13.4,75,902,850,7.9,8.4,1.87
Stefon Diggs,9579,WR,MIN,15,9.8,12,72.3,64.0,16,25,0,1.0,1,49,18,0,91.2,84.5,81.1,66.3,81.0,0.5,3,2,75,0.2,1,627,4,102,94.9,595,22.3,140,107.9,141,9,76.7,481,1021,438,4.3,10.0,1.72
Julian Edelman,5156,WR,NE,15,8.2,9,73.0,35.3,6,17,1,9.9,11,63,19,0,48.4,89.9,82.4,,80.8,0.0,0,3,36,0.0,0,595,6,100,94.3,561,64.0,381,106.0,137,6,35.3,210,1238,493,4.9,12.4,2.21
Brandin Cooks,8655,WR,LA,19,13.4,8,72.3,43.8,14,32,0,2.0,2,70,26,1,90.6,60.6,81.2,,82.5,0.1,1,3,57,0.0,0,737,2,99,94.4,696,28.8,212,110.8,137,5,70.6,520,1496,429,4.3,15.1,2.15
Keenan Allen,7857,WR,LAC,18,9.9,7,75.2,47.4,9,19,0,3.7,4,66,27,2,87.4,63.3,89.3,65.7,89.7,0.3,2,3,54,0.2,1,602,5,103,93.5,563,56.0,337,112.4,137,7,43.5,262,1308,422,4.1,12.7,2.32
