player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Stefon Diggs,9579,WR,BUF,19,11.5,21,76.2,60.0,15,25,0,6.4,10,91,4,0,71.7,86.4,90.2,,90.6,0.0,0,2,55,0.0,0,794,6,147,93.5,742,31.5,250,118.4,193,10,68.4,543,1846,548,3.7,12.6,2.49
Travis Kelce,7844,TE,KC,18,8.9,16,76.4,30.4,7,23,0,2.9,4,98,16,1,90.7,65.4,93.8,53.1,93.6,34.0,266,4,45,6.6,52,783,7,136,87.5,685,28.5,223,124.2,178,14,35.9,281,1776,729,5.4,13.1,2.59
Davante Adams,8688,WR,GB,16,8.7,5,78.2,46.2,12,26,1,1.5,2,82,12,1,91.0,64.8,92.0,,91.9,0.0,0,3,56,0.0,0,578,3,133,94.8,548,33.6,194,135.5,170,20,66.1,382,1507,660,5.0,11.3,2.75
Tyreek Hill,10799,WR,KC,18,12.9,24,68.5,47.4,9,19,0,10.5,13,72,16,0,50.4,86.3,84.5,66.3,84.8,1.2,9,2,75,0.1,1,763,6,111,94.2,719,58.6,447,126.9,162,15,38.7,295,1631,617,5.6,14.7,2.27
Allen Robinson II,8696,WR,CHI,17,10.1,12,68.8,45.1,23,51,0,0.9,1,70,6,0,91.3,84.1,88.3,65.6,88.5,0.2,1,6,42,0.2,1,656,0,108,97.0,636,29.4,193,90.9,157,6,70.3,461,1305,341,3.2,12.1,2.05
Diontae Johnson,33441,WR,PIT,16,8.8,13,63.9,41.7,5,12,1,13.2,15,53,25,1,35.6,63.0,70.4,,70.1,0.0,0,3,47,0.0,0,621,1,99,94.0,584,13.4,83,90.3,155,7,86.6,538,1040,429,4.3,10.5,1.78
DeAndre Hopkins,7808,WR,ARZ,16,9.0,21,74.7,50.0,13,26,1,0.9,1,75,1,3,91.5,38.3,87.1,,88.0,0.0,0,2,60,0.0,0,664,6,115,94.3,626,10.2,68,110.0,154,6,89.6,595,1407,521,4.5,12.2,2.25
JuJu Smith-Schuster,11817,WR,PIT,17,6.6,5,76.9,48.4,15,31,0,2.7,3,55,25,3,90.5,37.4,70.0,55.9,69.6,0.0,0,5,33,0.1,1,760,0,110,93.3,709,85.3,648,103.7,143,10,14.7,112,988,446,4.1,9.0,1.39
Darren Waller,9637,TE,LV,16,8.1,9,76.4,73.1,19,26,0,1.8,2,69,23,2,90.8,34.2,86.5,58.2,90.9,54.4,341,3,38,11.2,70,627,2,107,83.6,524,20.4,128,113.9,140,9,24.1,151,1196,594,5.6,11.2,2.28
Keenan Allen,7857,WR,LAC,14,7.3,11,72.5,56.3,18,32,1,2.0,2,61,27,3,90.1,58.1,84.9,73.3,85.0,0.4,2,5,28,0.4,2,555,2,100,93.7,520,51.7,287,96.6,138,8,47.7,265,992,444,4.4,9.9,1.91
Calvin Ridley,48262,WR,ATL,15,15.2,12,65.7,40.9,9,22,0,8.2,8,65,2,1,66.9,56.3,84.9,,84.7,0.2,1,6,63,0.0,0,594,3,90,94.6,562,11.4,68,102.3,137,9,88.2,524,1374,276,3.1,15.3,2.44
Tyler Lockett,9502,WR,SEA,17,10.6,4,75.0,61.5,8,13,0,6.4,7,59,29,1,71.9,58.3,76.5,,77.6,1.1,8,1,47,0.0,0,700,4,102,94.6,662,60.1,421,119.6,136,10,38.4,269,1097,341,3.3,10.8,1.66
Terry McLaurin,48229,WR,WAS,16,9.9,14,68.9,47.8,11,23,0,3.1,3,56,32,1,89.1,56.8,78.5,,77.6,0.0,0,4,68,0.0,0,679,3,93,95.6,649,31.2,212,93.8,135,4,68.6,466,1193,500,5.4,12.8,1.84
Robert Woods,7822,WR,LA,18,6.7,8,75.6,43.8,7,16,1,6.4,7,54,26,1,76.8,65.1,71.4,69.3,72.2,0.3,2,4,56,1.5,10,674,5,102,95.7,645,49.1,331,101.8,135,7,50.6,341,1032,533,5.2,10.1,1.6
D.K. Metcalf,47864,WR,SEA,17,14.2,17,65.2,48.3,14,29,0,11.1,11,65,29,1,51.3,48.6,82.5,68.7,82.5,0.1,1,5,62,0.4,3,706,2,88,94.5,667,16.6,117,113.8,135,12,83.3,588,1399,388,4.4,15.9,2.1
Chosen Anderson,11254,WR,CAR,16,9.8,4,70.9,35.0,7,20,0,4.0,4,49,5,1,79.9,58.2,75.1,,76.0,0.5,3,2,75,0.0,0,583,1,95,94.5,551,32.6,190,96.5,134,3,66.7,389,1096,501,5.3,11.5,1.99
Mike Evans,8642,WR,TB,20,14.1,5,62.3,52.6,10,19,1,10.0,9,65,30,0,47.1,82.1,74.9,,75.1,0.0,0,5,50,0.0,0,739,5,81,94.2,696,37.9,280,115.2,130,15,62.1,459,1210,293,3.6,14.9,1.74
Amari Cooper,9437,WR,DAL,16,9.5,8,71.9,60.0,9,15,1,3.2,3,54,9,0,88.0,83.6,75.9,,77.6,0.2,1,4,69,0.0,0,638,3,92,96.7,617,27.0,172,98.2,128,5,72.9,465,1114,408,4.4,12.1,1.81
Cooper Kupp,11824,WR,LA,16,7.0,21,76.2,58.3,7,12,0,5.0,5,48,26,0,79.5,65.3,81.6,73.1,78.0,0.0,0,3,55,1.6,9,567,0,96,95.1,539,61.7,350,98.4,126,3,38.3,217,1052,544,5.7,11.0,1.95
Justin Jefferson,61398,WR,MIN,16,12.0,13,72.7,54.5,12,22,0,4.3,4,58,18,1,82.3,55.0,90.4,,90.5,0.0,0,4,71,0.0,0,564,2,88,93.3,526,30.3,171,116.4,121,7,69.5,392,1400,450,5.1,15.9,2.66
Cole Beasley,7330,WR,BUF,18,7.6,7,80.7,75.0,9,12,0,2.0,2,59,4,0,90.5,83.3,81.7,,83.1,0.0,0,2,35,0.0,0,616,2,96,92.9,572,88.8,547,109.8,119,4,10.2,63,1112,409,4.3,11.6,1.94
Brandin Cooks,8655,WR,HST,15,12.5,3,70.4,38.1,8,21,0,5.8,5,52,13,0,74.5,82.3,81.1,,80.5,0.0,0,4,57,0.0,0,584,1,81,95.9,560,29.6,173,105.3,115,6,70.2,410,1150,336,4.1,14.2,2.05
Marvin Jones Jr.,7158,WR,DET,16,13.1,6,66.7,57.7,15,26,0,5.0,4,52,11,0,77.6,81.8,73.6,65.6,75.3,0.7,5,4,43,0.1,1,667,2,76,93.0,620,31.3,209,105.1,114,9,67.9,453,978,200,2.6,12.9,1.58
Logan Thomas,8755,TE,WAS,17,8.2,6,67.5,42.3,11,26,0,7.2,6,39,32,0,67.5,82.6,65.2,57.1,64.8,19.9,144,4,30,5.2,38,725,4,77,90.3,655,65.7,476,88.5,114,6,13.2,96,744,320,4.2,9.7,1.14
Jarvis Landry,8698,WR,CLV,17,7.9,9,73.7,63.6,14,22,1,6.7,6,52,8,2,70.3,56.0,84.7,76.3,81.8,0.4,2,2,40,0.8,4,505,4,84,92.5,467,57.4,290,105.6,114,5,41.4,209,952,415,4.9,11.3,2.04
Chris Godwin,11839,WR,TB,16,10.5,6,71.1,63.2,12,19,0,10.0,9,53,30,1,53.7,52.9,76.0,68.4,75.4,1.5,9,1,52,0.3,2,601,0,81,94.5,568,65.7,395,120.2,114,8,32.8,197,1072,403,5.0,13.2,1.89
