player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Logan Wilson,29623,LB,CIN,12,0,0,7,51.7,1,4,58,27.2,8.6,5,0,6.0,1,228,62,6,0,49.4,0,2,34,34.0,2.9,1,5.9,1,106,36,3
Jordan Brailford,29695,ED,MIN,5,0,0,18,57.4,1,2,30,93.9,13.3,4,0,5.0,0,33,31,3,0,61.0,0,1,22,95.7,18.2,4,2.3,0,23,22,1
Dakota Allen,30076,LB,JAX,4,0,0,15,70.9,1,2,5,9.8,20.0,1,1,30.0,0,61,6,3,0,76.3,0,2,2,12.5,50.0,1,50.0,0,24,3,2
Ty Summers,30242,LB,GB,7,0,0,12,59.0,0,0,1,0.8,0.0,0,0,0.0,0,133,1,0,0,59.0,0,0,1,1.9,0.0,0,0.0,0,52,1,0
Andrew Van Ginkel,30267,ED,MIA,16,4,1,17,78.1,4,9,197,74.9,12.2,24,4,6.3,6,283,212,19,1,70.7,2,8,88,82.9,20.5,18,9.1,3,117,97,13
Derick Roberson,30462,ED,TEN,8,1,0,31,57.0,2,11,161,95.0,8.1,13,1,4.0,0,179,170,13,0,54.0,2,7,77,93.1,11.7,9,5.8,0,87,81,9
T.J. Edwards,30737,LB,PHI,12,0,0,24,75.9,0,1,21,9.7,9.5,2,1,7.1,1,238,23,2,0,90.9,0,1,5,12.2,20.0,1,30.0,1,49,6,2
P.J. Hall,31211,DI,HST,10,0,0,13,57.7,1,7,135,100.0,5.9,8,0,3.7,1,143,143,9,0,59.8,0,3,39,100.0,7.7,3,3.8,0,41,41,3
Khalen Saunders,31534,DI,KC,3,0,0,16,58.9,0,2,34,94.6,5.9,2,0,2.9,0,37,35,2,0,60.8,0,1,13,100.0,7.7,1,3.8,0,13,13,1
Abdullah Anderson,32708,DI,MIN,1,0,0,18,65.9,0,0,6,100.0,16.7,1,0,0.0,0,6,6,0,0,59.7,0,0,1,100.0,0.0,0,0.0,0,1,1,0
DeAndre Baker,33356,CB,KC,1,0,0,16,82.2,0,0,1,3.3,100.0,1,0,100.0,1,30,1,1,0,,0,0,0,0.0,,0,,0,13,0,0
Cam Gill,33560,ED,TB,7,0,0,30,78.1,0,2,18,100.0,22.2,4,0,11.1,1,19,19,3,0,78.2,0,1,10,100.0,40.0,4,15.0,1,10,10,2
Nasir Adderley,33880,S,LAC,15,0,0,27,54.2,1,0,4,0.9,0.0,0,1,12.5,0,558,5,1,0,57.2,0,0,2,0.8,0.0,0,0.0,0,257,2,0
