player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Morgan Fox,11184,DI,LA,17,0,0,26,61.0,2,10,193,100.0,8.8,17,0,5.2,4,203,203,16,0,70.5,2,5,73,100.0,15.1,11,7.5,2,77,77,9
Nicholas Grigsby,11187,LB,NE,2,0,0,19,51.9,0,0,4,19.0,0.0,0,0,0.0,0,21,4,0,0,53.0,0,0,3,30.0,0.0,0,0.0,0,10,3,0
Mike Jordan,11189,CB,CLV,8,0,0,8,60.0,0,0,1,0.7,0.0,0,2,0.0,0,149,1,0,0,60.0,0,0,1,1.6,0.0,0,0.0,0,61,1,0
Cory Littleton,11190,LB,LA,14,2,0,26,77.4,2,1,16,10.9,18.8,3,0,15.6,1,165,18,4,1,67.8,1,1,6,8.8,33.3,2,16.7,0,80,7,2
James Burgess,11202,LB,CLV,14,2,0,8,53.9,3,7,102,28.9,5.9,6,0,7.8,3,370,107,13,0,54.1,1,6,49,40.0,8.2,4,11.2,2,130,52,9
Woodrow Hamilton,11215,DI,NO,1,0,0,20,54.3,0,0,10,100.0,0.0,0,0,0.0,0,12,12,0,0,60.0,0,0,0,100.0,,0,,0,1,1,0
Jonathan Jones,11217,CB,NE,15,0,2,19,60.0,0,2,8,2.2,0.0,0,3,25.0,1,357,8,3,0,69.6,0,2,4,2.0,0.0,0,50.0,1,197,4,3
Cre'Von LeBlanc,11218,CB,CHI,8,0,0,6,59.7,0,1,8,5.7,0.0,0,0,18.8,1,141,8,2,0,68.0,0,0,5,6.7,0.0,0,20.0,1,75,5,1
Ken Crawley,11224,CB,NO,15,0,5,20,60.0,0,0,1,0.2,0.0,0,14,0.0,0,634,1,0,0,,0,0,0,0.0,,0,,0,317,0,0
Trae Elston,11226,S,MIA,3,0,0,17,56.3,0,0,2,3.2,0.0,0,1,0.0,0,62,2,0,0,,0,0,0,0.0,,0,,0,28,0,0
De'Vante Harris,11227,CB,NO,6,0,1,20,52.7,0,0,5,4.0,0.0,0,1,0.0,0,124,5,0,0,,0,0,0,0.0,,0,,0,57,0,0
Mitchell Loewen,11232,DI,NO,2,0,0,20,55.0,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,56.6,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Andrew Adams,11240,S,NYG,15,0,0,21,49.8,1,2,13,7.6,7.7,1,0,11.5,0,172,13,3,0,50.6,1,1,6,10.7,0.0,0,16.7,0,56,6,2
Dont'e Deayon,11242,CB,NYG,4,0,0,21,52.7,0,0,3,5.1,0.0,0,0,0.0,0,78,4,0,0,59.1,0,0,0,3.8,,0,,0,26,1,0
Romeo Okwara,11250,ED,NYG,6,0,0,21,49.1,2,2,57,93.8,5.3,3,0,3.5,0,65,61,4,0,50.3,1,1,25,96.4,8.0,2,4.0,0,28,27,2
Claude Pelon,11264,DI,NYJ,1,0,0,22,54.7,0,0,7,100.0,0.0,0,0,0.0,0,7,7,0,0,55.7,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Lawrence Thomas,11265,FB,NYJ,4,0,0,22,52.5,0,0,15,100.0,0.0,0,1,0.0,0,16,16,0,0,55.6,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Steve Longa,11285,ED,DET,2,0,0,11,60.0,0,0,1,14.3,0.0,0,0,0.0,0,7,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
Pete Robertson,11317,LB,WAS,2,0,0,32,50.2,1,0,13,82.4,7.7,1,0,3.8,0,17,14,1,0,51.5,0,0,8,100.0,0.0,0,0.0,0,9,9,0
Tani Tupou,11318,DI,ATL,1,0,0,2,56.9,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,59.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Roy Robertson-Harris,11341,DI,CHI,12,1,0,6,57.0,2,5,119,98.5,10.1,12,1,6.3,4,130,128,11,1,64.4,2,4,65,98.6,13.8,9,10.8,4,71,70,10
Marwin Evans,11343,S,GB,11,0,0,12,57.9,0,0,2,2.2,0.0,0,1,0.0,0,92,2,0,0,58.8,0,0,1,2.0,0.0,0,0.0,0,50,1,0
James Cowser,11351,ED,OAK,15,0,0,23,52.2,0,2,49,64.5,4.1,2,0,2.0,0,76,49,2,0,53.2,0,1,16,61.5,6.3,1,3.1,0,26,16,1
Darius Latham,11356,DI,OAK,3,0,0,23,74.2,2,1,23,100.0,21.7,5,0,6.5,0,26,26,3,0,65.5,1,0,10,100.0,20.0,2,5.0,0,12,12,1
Branden Jackson,11394,ED,SEA,12,0,0,29,55.3,1,13,144,99.3,9.0,13,0,5.6,1,153,152,15,0,59.3,1,6,72,100.0,9.7,7,6.3,1,77,77,8
Anthony Lanier II,11409,DI,WAS,11,6,0,32,67.3,4,8,219,99.1,8.2,18,2,5.0,5,234,232,17,4,74.0,4,8,126,100.0,12.7,16,7.9,4,133,133,16
Javien Elliott,11418,CB,TB,9,0,0,30,51.9,0,1,4,4.3,0.0,0,0,12.5,0,94,4,1,0,55.2,0,1,2,3.4,0.0,0,25.0,0,58,2,1
Myles Garrett,11756,ED,CLV,11,1,1,8,78.9,11,19,290,100.0,15.5,45,8,7.6,7,300,300,37,0,79.1,5,11,109,100.0,20.2,22,11.9,5,113,113,21
Solomon Thomas,11758,ED,SF,14,0,0,28,52.7,9,18,367,95.7,10.1,37,7,4.5,3,419,401,30,0,55.5,4,10,179,98.5,12.8,23,5.6,3,205,202,17
Jamal Adams,11761,S,NYJ,16,1,1,22,54.8,0,6,69,11.5,8.7,6,4,7.2,2,635,73,8,0,55.2,0,5,39,14.7,15.4,6,11.5,2,278,41,7
Haason Reddick,11768,ED,ARZ,16,0,2,1,53.2,5,9,208,64.3,10.1,21,4,4.3,2,339,218,16,0,53.5,2,8,130,68.8,13.1,17,4.6,1,199,137,11
Derek Barnett,11769,ED,PHI,18,0,2,24,69.0,11,24,365,97.7,14.5,53,6,6.7,7,386,377,42,0,77.6,5,20,184,98.5,21.7,40,10.1,6,194,191,31
Malik Hooker,11770,S,IND,7,0,0,14,65.7,0,1,4,2.0,0.0,0,1,12.5,0,254,5,1,0,55.0,0,1,3,2.7,0.0,0,16.7,0,112,3,1
Jonathan Allen,11772,DI,WAS,5,0,0,32,72.3,3,10,106,100.0,17.9,19,0,9.0,3,112,112,16,0,81.0,3,10,61,100.0,29.5,18,15.6,3,64,64,16
Jarrad Davis,11776,LB,DET,14,0,1,11,75.2,3,6,57,13.2,14.0,8,5,11.4,2,471,62,11,0,90.3,3,3,25,14.7,20.0,5,16.0,1,190,28,7
Charles Harris,11777,ED,MIA,16,2,0,17,68.5,9,23,290,97.5,12.8,37,1,6.2,2,317,309,34,0,76.9,5,14,108,95.2,22.2,24,10.6,2,124,118,21
Jabrill Peppers,11780,S,CLV,13,0,1,8,54.3,0,4,27,6.4,7.4,2,5,11.1,1,452,29,5,0,59.0,0,4,12,9.1,8.3,1,16.7,0,154,14,4
Takkarist McKinley,11781,ED,ATL,18,1,1,2,70.1,4,27,306,98.5,14.7,45,4,7.7,8,329,324,39,1,78.1,3,23,148,99.4,23.0,34,13.5,7,159,158,33
Tre'Davious White,11782,CB,BUF,17,0,0,4,55.2,0,0,3,0.4,0.0,0,3,0.0,0,683,3,0,0,,0,0,0,0.0,,0,,0,293,0,0
Taco Charlton,11783,ED,DAL,16,1,0,9,61.6,4,14,222,96.3,10.4,23,0,5.4,3,241,232,21,1,55.6,3,5,105,97.4,9.5,10,5.7,2,115,112,10
T.J. Watt,11785,ED,PIT,16,3,0,25,71.1,8,26,300,62.9,14.3,43,4,8.3,8,499,314,42,0,71.2,1,20,134,79.7,20.9,28,11.6,5,177,141,26
Reuben Foster,11786,LB,SF,10,0,0,28,65.0,4,4,35,12.3,22.9,8,0,11.4,0,318,39,8,0,51.3,2,2,14,12.2,28.6,4,14.3,0,139,17,4
Budda Baker,11791,S,ARZ,16,1,0,1,91.8,2,8,27,8.9,18.5,5,0,22.2,1,337,30,11,1,94.0,2,5,16,9.6,25.0,4,28.1,1,178,17,8
Marcus Maye,11794,S,NYJ,16,0,0,22,49.8,1,1,20,3.4,5.0,1,3,5.0,0,622,21,2,0,53.1,1,0,10,4.0,10.0,1,5.0,0,275,11,1
Marcus Williams,11797,S,NO,17,0,0,20,49.7,0,1,8,1.1,0.0,0,2,6.3,0,718,8,1,0,52.9,0,1,3,0.9,0.0,0,16.7,0,344,3,1
Tyus Bowser,11802,ED,BLT,16,2,0,3,65.8,1,4,94,78.7,13.8,13,0,5.9,3,122,96,8,0,59.0,1,2,58,88.2,13.8,8,6.0,2,68,60,5
Ryan Anderson,11804,ED,WAS,14,0,0,32,50.3,3,1,77,86.3,5.2,4,2,2.6,0,95,82,4,0,56.6,3,0,29,84.2,10.3,3,5.2,0,38,32,3
Justin Evans,11805,S,TB,13,0,0,30,70.5,0,1,3,0.7,0.0,0,0,16.7,0,435,3,1,0,58.5,0,1,1,0.5,0.0,0,50.0,0,203,1,1
DeMarcus Walker,11806,ED,DEN,9,0,0,10,73.6,4,4,53,96.4,17.0,9,0,9.4,1,56,54,9,0,68.2,3,3,29,100.0,20.7,6,10.3,0,29,29,6
Teez Tabor,11808,CB,DET,9,0,0,11,48.9,1,2,10,6.6,10.0,1,0,15.0,0,151,10,3,0,50.1,1,2,7,8.8,14.3,1,21.4,0,80,7,3
Dalvin Tomlinson,11810,DI,NYG,16,1,0,21,58.9,0,12,260,95.5,5.8,15,0,2.7,1,289,276,13,1,60.9,0,5,72,96.3,8.3,6,4.9,1,82,79,6
Zach Cunningham,11812,LB,HST,16,1,0,13,58.0,1,9,84,18.7,9.5,8,2,7.1,1,502,94,11,1,62.6,1,5,50,22.8,8.0,4,8.0,1,241,55,7
Tanoh Kpassagnon,11814,ED,KC,10,0,0,16,58.1,0,3,80,88.2,7.5,6,1,4.4,2,93,82,5,0,63.4,0,1,29,93.8,13.8,4,8.6,2,32,30,3
Josh Jones,11816,S,GB,15,0,1,12,60.6,1,2,22,5.5,13.6,3,3,15.9,2,440,24,5,0,70.6,0,0,9,4.5,22.2,2,22.2,2,221,10,2
Larry Ogunjobi,11820,DI,CLV,14,0,0,8,63.3,3,8,135,95.2,8.9,12,2,4.8,1,146,139,12,0,63.8,1,4,30,97.0,13.3,4,8.3,0,33,32,5
Ahkello Witherspoon,11821,CB,SF,12,0,1,28,59.2,0,0,1,0.3,0.0,0,2,0.0,0,381,1,0,0,,0,0,0,0.0,,0,,0,171,0,0
Dawuane Smoot,11823,ED,JAX,19,0,0,15,50.7,6,7,150,98.8,8.7,13,1,4.3,0,163,161,13,0,52.3,1,5,53,98.3,11.3,6,5.7,0,59,58,6
Jordan Willis,11828,ED,CIN,16,0,0,7,60.8,0,10,133,96.6,11.3,15,0,4.5,1,149,144,11,0,63.6,0,3,46,94.3,17.4,8,3.3,0,53,50,3
Chris Wormley,11829,DI,BLT,6,0,0,3,54.3,1,4,36,100.0,13.9,5,0,6.9,0,37,37,5,0,60.1,1,1,8,100.0,25.0,2,12.5,0,8,8,2
Duke Riley,11830,LB,ATL,13,0,0,2,52.2,0,0,11,9.4,0.0,0,0,0.0,0,128,12,0,0,59.3,0,0,1,2.3,0.0,0,0.0,0,43,1,0
Alex Anzalone,11831,LB,NO,4,0,0,20,62.3,0,1,14,14.6,14.3,2,1,10.7,1,96,14,2,0,63.3,0,1,5,12.5,20.0,1,10.0,0,40,5,1
Daeshon Hall,11832,ED,CAR,1,0,0,5,62.6,0,0,6,100.0,16.7,1,0,0.0,0,6,6,0,0,64.9,0,0,4,100.0,25.0,1,0.0,0,4,4,0
Tim Williams,11833,ED,BLT,8,0,0,3,60.7,2,6,66,90.7,13.6,9,0,6.1,0,75,68,8,0,64.6,2,3,32,88.9,18.8,6,7.8,0,36,32,5
Tarell Basham,11835,ED,IND,15,0,0,14,71.1,3,7,107,83.8,15.9,17,0,6.5,2,136,114,12,0,77.6,1,1,40,93.8,25.0,10,7.5,2,48,45,4
Eddie Vanderdoes,11843,DI,OAK,16,0,0,23,61.1,2,10,209,99.1,8.1,17,0,2.9,0,220,218,12,0,61.1,1,4,81,100.0,11.1,9,3.1,0,86,86,5
Shaquill Griffin,11845,CB,SEA,15,0,1,29,80.5,0,0,1,0.2,0.0,0,7,100.0,1,544,1,1,0,80.5,0,0,1,0.4,0.0,0,100.0,1,280,1,1
John Johnson III,11847,S,LA,16,0,0,26,54.7,0,1,4,0.8,25.0,1,0,12.5,0,509,4,1,0,,0,1,0,0.0,,1,,0,265,0,1
Montravius Adams,11848,DI,GB,7,0,0,12,54.6,1,0,34,100.0,5.9,2,0,1.5,0,38,38,1,0,56.9,1,0,21,100.0,9.5,2,2.4,0,23,23,1
Cordrea Tankersley,11852,CB,MIA,11,1,1,17,68.0,0,0,1,0.3,0.0,0,2,0.0,0,365,1,0,1,68.0,0,0,1,0.7,0.0,0,0.0,0,147,1,0
Rasul Douglas,11854,CB,PHI,12,0,2,24,59.2,0,0,1,0.3,0.0,0,5,0.0,0,308,1,0,0,59.2,0,0,1,0.7,0.0,0,0.0,0,143,1,0
Nazair Jones,11857,DI,SEA,11,2,1,29,74.9,1,7,132,97.9,8.3,11,2,4.5,2,146,143,10,2,72.7,1,3,48,100.0,8.3,4,4.2,0,52,52,4
Trey Hendrickson,11858,ED,NO,14,2,0,20,62.0,4,16,222,98.7,11.7,26,1,5.4,2,238,235,22,0,67.2,3,13,128,100.0,16.4,21,7.8,2,135,135,18
Kendell Beckwith,11862,LB,TB,16,0,0,30,44.5,0,7,168,35.1,4.8,8,4,2.7,1,504,177,8,0,47.9,0,5,108,46.8,6.5,7,3.2,1,248,116,6
