player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Julius Peppers,1010,ED,CAR,16,5,1,5,66.7,6,17,326,96.9,9.8,32,2,5.1,5,355,344,28,4,72.8,4,12,165,97.2,16.4,27,6.7,3,179,174,19
Terrell Suggs,1326,ED,BLT,17,5,1,3,73.0,7,43,439,86.8,14.1,62,4,7.5,8,539,468,58,1,69.0,4,27,219,88.3,16.9,37,9.4,5,266,235,36
Mike Adams,1972,S,CAR,16,0,0,5,67.3,2,6,30,5.4,13.3,4,1,13.3,0,598,32,8,0,57.6,0,4,12,4.9,16.7,2,16.7,0,267,13,4
Thomas Davis Sr.,2231,LB,CAR,12,1,0,5,74.0,2,5,62,16.9,12.9,8,0,5.6,0,397,67,7,0,71.9,1,4,27,17.8,22.2,6,9.3,0,163,29,5
Derrick Johnson,2232,LB,OAK,6,0,0,23,46.7,0,1,11,11.9,0.0,0,0,4.5,0,101,12,1,0,49.8,0,1,5,9.5,0.0,0,10.0,0,63,6,1
Lorenzo Alexander,2476,LB,BUF,16,2,0,4,70.5,4,27,227,64.5,15.9,36,0,9.9,7,372,240,38,1,64.7,2,15,127,76.8,18.1,23,9.8,4,177,136,21
Haloti Ngata,2957,DI,PHI,15,1,0,24,56.8,2,6,224,99.2,5.4,12,0,2.2,1,242,240,9,0,55.5,0,1,82,100.0,4.9,4,1.8,1,90,90,2
Johnathan Joseph,2969,CB,HST,15,0,0,13,55.3,0,0,3,0.5,0.0,0,1,0.0,0,570,3,0,0,,0,0,0,0.0,,0,,0,223,0,0
Frostee Rucker,3036,ED,OAK,15,2,0,23,48.9,4,10,218,97.5,4.6,10,0,3.2,0,238,232,14,1,55.5,1,4,55,100.0,9.1,5,4.5,0,57,57,5
Domata Peko Sr.,3068,DI,DEN,16,2,0,10,59.0,2,5,239,100.0,5.4,13,7,1.9,1,261,261,8,0,59.7,1,3,69,100.0,10.1,7,2.9,0,80,80,4
