player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Terrell Suggs,1326,ED,KC,18,1,0,16,65.6,6,32,477,93.1,10.1,48,6,5.7,8,539,502,46,0,69.4,4,22,216,95.0,13.9,30,8.3,5,242,230,31
Thomas Davis Sr.,2231,LB,LAC,16,0,0,27,71.5,0,1,18,4.5,27.8,5,3,13.9,2,421,19,3,0,70.4,0,0,7,5.5,28.6,2,14.3,1,146,8,1
Lorenzo Alexander,2476,ED,BUF,17,4,0,4,68.4,7,21,217,70.9,13.8,30,1,7.8,3,316,224,31,3,67.9,6,19,146,86.8,17.1,25,9.9,2,174,151,27
Johnathan Joseph,2969,CB,HST,14,0,2,13,75.9,0,0,2,0.5,50.0,1,3,0.0,0,414,2,0,0,60.0,0,0,1,0.5,100.0,1,0.0,0,215,1,0
Domata Peko Sr.,3068,DI,BLT,8,0,0,3,55.4,0,7,62,97.0,11.3,7,1,5.6,0,67,65,7,0,57.4,0,4,26,96.6,15.4,4,7.7,0,29,28,4
Antoine Bethea,3152,S,NYG,16,0,0,21,63.1,0,0,7,1.1,14.3,1,1,0.0,0,657,7,0,0,58.5,0,0,1,0.4,0.0,0,0.0,0,252,1,0
Tramon Williams,3558,CB,GB,18,0,0,12,54.3,1,1,9,1.8,0.0,0,5,11.1,0,549,10,2,0,51.0,0,1,3,1.1,0.0,0,16.7,0,279,3,1
Eric Weddle,3653,S,LA,16,0,1,26,73.0,1,2,6,1.0,0.0,0,2,25.0,0,620,6,3,0,,0,0,0,0.0,,0,,0,271,0,0
Brandon Mebane,3701,DI,LAC,13,0,0,27,48.2,1,6,190,100.0,3.2,6,1,2.4,1,208,208,8,0,54.4,1,3,45,100.0,8.9,4,6.7,1,56,56,5
Calais Campbell,4364,DI,JAX,16,1,0,15,81.4,19,46,480,99.6,18.1,87,8,8.2,7,517,515,72,0,79.1,11,28,218,100.0,22.9,50,11.2,5,238,238,44
