player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Eric Weddle,3653,S,LA,4,3,8.8,50.0,100.0,36.0,18.0,0,0,0,0.0,26,67.2,75.0,1.1,,91.0,87.7,0,16,0.0,0,0,1,105.2,4,146,146,2,6,8,1,42,23,0.3,10.5
Calais Campbell,4364,DI,BLT,15,0,,,0.2,,,1,0,0,,3,70.0,80.8,87.5,69.5,77.9,52.5,0,,33.3,2,0,1,0.0,0,1,424,3,4,0,0,0,0,0.0,
Matthew Slater,4467,WR,NE,1,0,,,100.0,,,0,0,0,,19,60.7,70.2,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Malcolm Jenkins,4937,S,NO,16,5,6.7,70.4,92.6,15.5,10.9,0,0,4,7.4,20,60.8,64.5,89.0,57.3,70.6,62.5,1,31,7.8,4,4,2,92.2,38,629,679,17,42,54,2,348,164,0.6,9.2
Jason McCourty,5127,S,MIA,7,2,9.5,71.4,97.9,18.2,13.0,0,0,3,21.4,17,73.5,72.1,81.7,54.5,59.2,60.8,0,25,0.0,0,3,0,114.6,10,190,194,3,9,14,1,98,29,0.5,9.8
Steve McLendon,5232,DI,TB,14,0,,,2.5,,,1,0,0,,30,67.3,65.9,62.3,64.0,59.5,37.2,1,,0.0,0,0,1,0.0,0,5,201,3,4,0,0,0,0,0.0,
Ndamukong Suh,5527,DI,TB,19,1,3.0,100.0,1.6,9.0,9.0,0,1,0,0.0,30,57.7,52.4,50.3,54.3,57.1,49.3,0,5,20.0,1,0,4,87.5,1,9,573,7,3,1,0,5,2,0.6,5.0
Joe Haden,5532,CB,PIT,13,5,11.3,67.3,100.0,11.5,7.7,0,0,6,10.9,25,64.2,62.1,85.8,,48.0,48.6,0,50,11.1,4,6,1,119.3,37,446,446,10,27,55,5,407,137,1.0,11.0
Jason Pierre-Paul,5540,ED,TB,14,3,2.6,100.0,11.0,5.4,5.4,0,0,0,0.0,30,65.6,45.3,46.5,52.0,38.6,57.0,0,24,20.8,5,0,4,134.2,10,55,499,9,16,10,1,82,56,1.5,8.2
Kareem Jackson,5545,S,DEN,15,0,8.5,75.0,99.6,21.1,15.8,0,0,1,3.1,10,48.5,52.0,93.5,61.0,56.8,50.6,1,23,13.5,7,1,0,111.8,24,531,533,5,45,32,3,223,106,0.4,9.3
Devin McCourty,5552,S,NE,18,7,12.6,50.0,99.0,49.1,24.5,0,2,8,33.3,19,74.7,75.4,88.0,52.3,74.9,73.8,3,33,7.7,3,8,0,31.8,12,620,626,1,29,24,0,159,63,0.3,13.3
Jerry Hughes,5556,ED,BUF,19,2,3.5,50.0,4.8,9.0,4.5,2,0,0,0.0,4,52.3,70.7,38.6,81.2,54.9,24.8,0,18,25.0,2,0,5,63.5,2,20,415,6,4,4,0,19,11,1.1,9.5
Carlos Dunlap,5579,ED,SEA,17,1,2.3,100.0,12.5,10.3,10.3,0,0,0,0.0,29,59.9,72.1,64.7,68.5,72.8,83.4,0,12,0.0,0,0,2,87.5,4,44,353,11,6,4,0,20,11,0.5,5.0
Corey Peters,5607,DI,ARZ,15,0,,,3.1,,,0,0,0,,1,53.6,58.0,69.4,64.8,54.7,76.4,0,,,0,0,1,0.0,0,6,194,0,0,0,0,0,0,0.0,
Andre Roberts,5612,WR,LAC,1,0,,,100.0,,,0,0,0,,27,60.7,70.2,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Everson Griffen,5624,ED,MIN,9,1,3.0,100.0,2.5,7.0,7.0,0,0,0,0.0,18,60.9,63.7,4.7,79.0,46.0,28.0,0,5,40.0,2,0,7,87.5,1,8,317,8,2,1,0,5,2,0.7,5.0
Al Woods,5646,DI,SEA,16,2,5.0,100.0,2.2,7.0,7.0,0,0,0,0.0,29,54.5,75.4,63.3,61.9,80.3,40.9,0,10,0.0,0,0,2,108.3,1,7,316,2,0,1,0,10,5,1.4,10.0
Anthony Levine,6013,S,BLT,2,0,13.2,83.3,84.0,4.0,3.3,0,0,1,16.7,3,38.9,44.3,75.9,51.7,73.2,77.6,0,52,0.0,0,1,0,118.8,5,21,25,1,4,6,0,79,29,4.0,15.8
Andrew Sendejo,6118,S,IND,11,4,11.5,43.8,97.3,53.6,23.4,3,1,3,18.8,14,65.1,62.9,55.8,55.5,57.4,50.2,0,31,16.0,4,3,3,95.8,7,399,410,3,17,16,3,68,31,0.2,9.7
Von Miller,6154,ED,LA,19,1,0.4,100.0,11.3,8.4,8.4,1,0,1,12.5,26,90.9,91.2,47.4,88.1,88.2,61.3,0,11,18.8,3,1,5,82.3,8,69,610,22,12,8,0,30,27,0.4,3.8
Patrick Peterson,6157,CB,MIN,13,3,10.0,57.8,100.0,13.9,8.1,0,0,7,10.9,18,61.0,63.0,88.3,,66.8,54.3,1,77,16.7,6,3,3,89.0,37,548,548,9,27,64,3,455,250,0.9,12.3
J.J. Watt,6163,DI,ARZ,8,0,,,2.1,,,0,0,0,,1,59.4,78.6,68.1,81.0,64.3,27.9,0,,66.7,2,0,1,0.0,0,5,233,2,1,0,0,0,0,0.0,
Robert Quinn,6166,ED,CHI,16,2,4.0,33.3,9.7,37.0,12.3,2,0,0,0.0,6,74.0,69.9,30.4,79.7,52.0,59.9,0,-4,40.0,4,0,6,42.4,1,43,445,19,4,3,0,-4,0,-0.1,-4.0
Ryan Kerrigan,6168,ED,PHI,17,0,,,0.9,,,0,0,0,,24,74.8,64.7,87.8,61.4,56.6,75.6,0,,0.0,0,0,0,0.0,0,2,225,4,2,0,0,0,0,0.0,
Cameron Jordan,6176,ED,NO,16,1,,,2.2,,,0,0,0,,20,86.9,84.3,74.4,69.7,87.1,76.1,0,,0.0,0,0,2,0.0,0,12,557,17,4,0,0,0,0,0.0,
Jimmy Smith,6179,CB,BLT,10,1,9.8,52.4,98.9,16.1,8.4,0,0,3,14.3,3,67.1,65.9,84.5,56.2,54.1,50.2,0,11,17.6,3,2,1,61.6,11,188,190,5,13,21,0,80,38,0.5,7.3
Justin Houston,6222,ED,BLT,15,2,0.0,100.0,6.2,12.5,12.5,0,1,1,50.0,3,76.6,77.8,76.6,77.4,59.0,30.1,0,29,37.5,3,1,1,118.8,2,26,417,8,3,2,0,56,56,2.2,28.0
K.J. Wright,6251,LB,LV,18,5,2.5,94.1,98.1,12.3,11.5,0,0,0,0.0,23,59.0,65.1,83.7,52.1,68.6,63.8,0,29,12.5,2,0,1,123.5,16,211,215,4,9,17,1,152,110,0.8,9.5
Taiwan Jones,6277,HB,BUF,1,0,,,100.0,,,0,0,0,,4,60.7,70.2,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Buster Skrine,6289,CB,TEN,7,3,12.8,62.5,97.8,11.4,7.1,1,0,2,8.3,31,65.4,64.9,81.8,52.4,59.7,44.3,1,41,11.1,2,2,1,69.4,15,181,185,5,13,24,0,188,63,1.1,12.5
Richard Sherman,6306,CB,TB,5,0,7.9,73.3,95.9,10.0,7.3,0,0,0,0.0,30,51.8,53.3,81.0,64.9,63.2,38.1,1,24,26.7,4,0,2,70.7,11,117,122,3,11,15,0,127,50,1.2,11.5
Pernell McPhee,6317,ED,BLT,10,0,0.0,100.0,8.7,13.0,13.0,0,0,0,0.0,3,55.2,51.9,56.8,54.4,55.2,45.3,0,8,33.3,1,0,1,100.0,1,13,150,2,2,1,0,8,8,0.6,8.0
Malcolm Smith,6394,LB,CLV,15,2,3.0,85.4,93.2,6.5,5.6,0,0,4,9.8,8,65.0,57.0,6.2,48.2,53.1,46.3,2,22,16.7,4,3,2,117.5,35,245,263,12,18,41,6,311,228,1.4,8.9
Chris Harris Jr.,6457,CB,LAC,14,0,9.2,62.7,96.8,13.2,8.3,1,0,5,9.8,27,60.4,62.4,85.1,64.3,64.1,62.6,1,44,12.1,4,3,4,95.1,32,454,469,5,29,51,3,359,116,0.9,11.2
Josh Bynes,6503,LB,BLT,14,6,5.3,75.0,90.3,10.3,7.8,0,1,3,9.4,3,65.2,74.8,83.7,76.6,74.8,72.9,0,38,6.3,2,3,0,104.4,24,269,298,11,24,32,1,226,122,0.9,9.4
Mario Addison,6558,ED,BUF,19,0,1.0,100.0,6.6,11.5,11.5,1,0,0,0.0,4,66.3,60.8,54.0,64.2,53.3,43.4,0,10,62.5,5,0,3,100.0,2,25,381,8,3,2,0,16,14,0.7,8.0
Stephon Gilmore,7016,CB,CAR,8,0,9.1,68.2,100.0,10.8,7.4,0,1,1,4.5,5,79.4,77.1,27.9,,68.1,85.3,2,23,0.0,0,0,2,80.7,15,172,172,4,10,22,2,155,39,1.0,10.3
Michael Brockers,7020,DI,DET,16,1,,,0.7,,,0,0,0,,11,59.2,41.1,63.7,48.0,43.4,34.6,0,,0.0,0,0,2,0.0,0,2,307,3,2,0,0,0,0,0.0,
Bruce Irvin,7021,ED,CHI,6,0,1.0,100.0,4.5,4.0,4.0,0,0,0,0.0,6,64.9,48.1,48.9,55.4,47.2,55.2,0,7,0.0,0,0,1,95.8,1,4,89,0,1,1,0,7,6,1.8,7.0
Dre Kirkpatrick,7023,CB,SF,3,0,10.0,71.4,100.0,8.6,6.1,0,0,0,0.0,28,50.3,50.7,79.1,,53.0,57.4,0,28,0.0,0,0,1,144.0,5,45,45,3,6,7,1,72,18,1.7,14.4
Melvin Ingram III,7024,ED,KC,18,1,4.0,100.0,8.0,7.8,7.8,0,0,1,20.0,16,52.0,80.9,67.0,77.3,76.7,45.2,0,13,33.3,2,0,3,105.8,5,40,500,6,3,5,0,47,27,1.2,9.4
Chandler Jones,7027,ED,ARZ,16,0,2.9,85.7,8.4,7.7,6.6,1,0,1,14.3,1,42.8,66.9,44.0,87.7,40.4,46.5,0,18,20.0,1,0,6,116.1,6,46,547,10,4,7,0,83,58,1.8,13.8
Dont'a Hightower,7030,LB,NE,16,4,4.1,94.6,69.8,7.1,6.7,0,0,0,0.0,19,34.5,49.6,66.4,57.7,65.9,53.7,0,23,12.5,4,0,2,112.0,35,263,377,6,24,37,1,323,184,1.3,9.2
Whitney Mercilus,7031,ED,GB,11,0,,,2.0,,,0,0,0,,12,64.3,61.2,87.9,65.4,49.7,61.9,0,,0.0,0,0,0,0.0,0,4,197,4,1,0,0,0,0,0.0,
Janoris Jenkins,7043,CB,TEN,15,6,11.2,62.8,99.7,11.3,7.1,1,1,7,8.1,31,65.1,65.9,22.8,73.8,75.9,69.2,1,54,10.9,5,4,7,98.0,54,650,652,11,35,86,5,599,191,1.0,11.1
Bobby Wagner,7050,LB,SEA,16,16,4.2,83.9,92.6,8.1,6.8,0,0,3,3.4,29,62.8,71.8,86.0,70.0,76.7,79.7,1,26,5.3,4,2,1,98.2,73,626,676,19,56,87,1,679,437,1.1,9.3
Tavon Wilson,7051,S,SF,3,1,27.7,66.7,98.4,26.0,17.3,0,0,2,66.7,28,61.4,57.7,81.5,60.0,47.1,69.0,0,33,0.0,0,2,0,109.7,2,60,61,0,5,3,0,42,7,0.8,21.0
Lavonte David,7060,LB,TB,14,10,2.8,82.9,89.6,9.4,7.8,0,1,3,4.3,30,73.9,72.3,44.3,62.4,70.0,79.7,0,30,5.8,4,2,2,112.8,58,576,643,21,55,70,4,455,303,0.8,7.8
Casey Hayward Jr.,7064,CB,LV,18,0,15.4,50.8,100.0,22.2,11.3,1,1,8,13.6,23,75.5,76.6,89.6,,72.1,63.6,1,47,6.3,2,7,4,76.1,30,712,712,7,30,59,2,388,114,0.6,12.9
Demario Davis,7079,LB,NO,16,16,5.6,66.7,81.4,13.5,9.0,0,2,7,12.3,20,73.4,77.9,89.6,64.8,78.0,77.7,0,27,9.1,5,5,2,78.7,38,550,676,14,34,57,0,288,158,0.6,7.6
Akiem Hicks,7090,DI,CHI,8,0,,,0.6,,,0,0,0,,6,61.4,72.3,63.4,71.9,66.0,41.1,0,,0.0,0,0,1,0.0,0,1,162,6,2,0,0,0,0,0.0,
Travis Benjamin,7100,WR,SF,1,0,,,100.0,,,0,0,0,,28,60.7,70.2,60.0,,,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
Danny Trevathan,7177,LB,CHI,5,1,8.1,85.7,97.7,6.2,5.3,0,0,0,0.0,6,37.2,45.1,76.2,59.1,63.0,64.3,0,15,12.5,1,0,0,137.8,6,42,43,2,6,7,1,53,18,1.4,8.8
Rodney McLeod,7271,S,PHI,14,7,10.3,59.1,99.4,34.8,20.6,0,1,2,9.1,24,60.4,64.8,88.0,57.6,73.2,65.0,2,36,9.8,4,2,0,62.7,13,474,477,6,30,22,1,180,47,0.4,13.8
Michael Thomas,7279,S,CIN,6,1,9.8,66.7,100.0,12.0,8.0,0,0,1,16.7,7,50.1,53.4,76.9,,66.3,71.7,0,28,0.0,0,1,0,90.3,4,49,49,0,4,6,0,47,29,1.0,11.8
Tashaun Gipson Sr.,7288,S,CHI,12,4,5.5,75.9,98.4,15.3,11.6,0,0,2,6.9,6,50.8,51.5,52.4,63.3,55.9,62.5,2,37,6.5,2,0,1,79.7,22,362,368,7,25,29,1,220,130,0.7,10.0
Julian Stanford,7372,LB,CAR,4,0,2.0,100.0,85.4,15.5,15.5,0,0,0,0.0,5,56.1,51.1,79.2,53.9,52.2,76.0,0,28,,0,0,0,110.4,2,35,41,0,0,2,0,21,17,0.7,10.5
Brandon Bolden,7469,HB,NE,1,0,,,100.0,,,0,0,0,,19,60.7,47.3,59.8,,,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
Harrison Smith,7641,S,MIN,15,9,10.1,74.1,93.5,28.9,21.4,0,1,5,18.5,18,81.8,77.9,31.8,60.6,74.0,86.2,1,35,4.8,3,5,4,85.0,20,615,658,9,50,27,0,237,83,0.4,11.9
Josh Norman,7649,CB,SF,16,4,13.9,67.2,99.8,10.9,7.3,3,1,5,8.2,28,45.4,47.2,62.2,68.7,55.9,57.5,1,57,5.3,2,4,10,123.4,41,479,480,8,32,61,6,576,147,1.3,14.0
Justin Bethel,7654,CB,NE,10,0,13.3,71.4,100.0,7.8,5.6,1,0,1,14.3,19,60.3,56.5,80.9,,40.9,78.1,0,35,0.0,0,1,1,105.7,5,39,39,1,4,7,0,74,18,1.9,14.8
D.J. Hayden,7793,CB,WAS,1,0,4.0,100.0,100.0,2.0,2.0,0,0,0,0.0,32,29.0,26.0,66.5,,60.0,26.4,0,61,100.0,1,0,0,118.8,1,2,2,0,0,1,0,61,57,30.5,61.0
Sheldon Richardson,7794,DI,MIN,17,0,,,0.2,,,0,0,0,,18,64.7,62.1,59.6,60.9,61.0,61.0,0,,0.0,0,0,3,0.0,0,1,469,9,7,0,0,0,0,0.0,
Desmond Trufant,7803,CB,LV,11,1,12.3,53.1,100.0,10.2,5.4,0,0,5,15.6,23,63.4,66.1,82.5,,73.9,68.4,0,28,5.3,1,3,0,81.8,17,187,187,4,17,32,1,192,33,1.1,11.3
Xavier Rhodes,7806,CB,IND,13,4,10.0,63.1,100.0,9.4,5.9,1,0,8,12.3,14,61.8,61.8,87.0,,56.9,48.3,1,57,8.6,3,5,4,92.1,41,402,402,5,28,65,2,524,182,1.4,12.8
Cordarrelle Patterson,7810,HB,ATL,2,0,,,100.0,,,0,0,0,,2,59.9,59.9,64.6,,,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Alec Ogletree,7811,LB,CHI,16,3,6.5,79.3,92.2,13.7,10.8,1,0,2,6.9,6,33.1,29.2,32.3,62.0,29.6,47.2,0,23,25.0,8,2,5,108.9,23,330,358,9,21,29,1,214,133,0.7,9.3
Darius Slay,7817,CB,PHI,17,2,11.2,61.0,100.0,12.5,7.6,0,1,10,13.0,24,84.5,81.0,87.6,,55.9,59.0,3,49,8.0,4,5,3,76.2,47,615,615,14,44,77,3,489,162,0.8,10.4
