player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Julius Peppers,1010,ED,CAR,17,1,,,1.9,,,0,0,0,,5,61.6,74.2,79.0,63.9,79.8,61.6,0,,40.0,2,0,1,0.0,0,7,376,14,2,0,0,0,0,0.0,
Dwight Freeney,1019,ED,DET,9,0,,,1.0,,,0,0,0,,11,60.1,68.0,88.0,69.9,37.1,36.7,0,,,0,0,0,0.0,0,2,200,3,0,0,0,0,0,0.0,
James Harrison,1251,ED,NE,9,1,2.2,80.0,32.0,9.5,7.6,0,0,0,0.0,19,59.3,66.0,82.4,80.3,44.0,39.2,0,24,16.7,1,0,0,95.0,4,39,122,4,4,5,0,34,25,0.9,8.5
Terence Newman,1321,CB,MIN,18,3,8.7,57.4,96.7,11.1,6.4,0,1,5,8.2,18,63.9,66.6,84.4,58.1,73.0,66.3,1,53,8.0,2,3,1,92.2,35,405,419,10,20,61,4,400,165,1.0,11.4
Terrell Suggs,1326,ED,BLT,16,2,-2.0,100.0,2.6,7.0,7.0,1,1,1,50.0,3,90.0,81.0,43.6,73.5,77.6,67.8,0,8,30.0,3,1,5,95.8,2,14,539,14,5,2,0,14,18,1.0,7.0
DeAngelo Hall,1729,S,WAS,4,2,20.3,71.4,100.0,20.0,14.3,0,0,2,28.6,32,54.5,46.4,80.5,,32.0,36.0,0,24,10.0,1,2,0,144.0,5,110,110,0,7,7,1,72,19,0.7,14.4
Karlos Dansby,1754,LB,ARZ,16,11,4.1,73.4,87.7,9.8,7.2,0,3,3,4.7,1,58.2,63.0,64.7,66.3,65.8,59.6,1,35,18.9,10,2,1,93.2,47,491,560,18,32,64,2,400,259,0.9,8.5
Mike Adams,1972,S,CAR,17,1,10.3,66.7,94.7,17.9,11.9,0,1,8,15.7,5,80.3,75.9,69.4,58.5,65.5,73.7,3,33,9.5,4,7,3,93.3,34,642,678,10,37,51,5,336,195,0.6,9.9
Adam Jones,2223,CB,CIN,9,0,10.1,50.0,100.0,11.7,5.9,1,0,6,20.0,7,56.9,55.9,0.0,,65.7,65.3,1,20,16.7,3,4,5,60.7,15,188,188,2,15,30,1,142,27,0.8,9.5
Thomas Davis Sr.,2231,LB,CAR,16,4,4.4,79.3,77.4,8.9,7.1,1,0,1,1.7,5,61.6,64.1,27.3,66.9,66.0,73.2,0,24,10.5,4,0,4,125.6,46,429,554,17,30,58,5,421,260,1.0,9.2
Derrick Johnson,2232,LB,KC,16,6,4.6,56.8,93.3,18.9,10.7,0,1,8,18.2,16,78.4,65.1,88.4,47.1,47.2,54.0,0,29,16.1,5,6,0,77.1,25,512,549,5,20,44,1,212,119,0.4,8.5
Lorenzo Alexander,2476,ED,BUF,17,0,4.0,83.3,49.8,6.6,5.5,0,0,1,2.8,4,47.2,58.7,36.1,64.2,66.5,44.7,0,39,17.2,5,1,3,111.2,30,205,412,13,24,36,1,305,186,1.5,10.2
Ahmad Brooks,2945,ED,GB,12,0,4.0,100.0,1.4,3.0,3.0,0,0,0,0.0,12,50.8,63.9,15.8,55.4,83.6,61.0,0,18,0.0,0,0,4,118.8,1,3,213,3,2,1,0,18,14,6.0,18.0
Haloti Ngata,2957,DI,DET,5,0,,,2.2,,,0,0,0,,11,54.3,66.4,42.5,75.5,61.2,73.1,0,,,0,0,1,0.0,0,2,93,2,0,0,0,0,0,0.0,
Tamba Hali,2965,ED,KC,6,0,,,1.1,,,0,0,0,,16,60.0,59.0,82.2,57.9,58.0,70.5,0,,,0,0,0,0.0,0,1,90,0,0,0,0,0,0,0.0,
Johnathan Joseph,2969,CB,HST,16,5,12.1,58.2,99.6,11.6,6.8,4,3,7,10.4,13,71.0,67.4,0.0,56.2,61.9,60.9,2,94,10.3,4,6,8,99.1,39,486,488,10,30,67,4,660,259,1.5,16.9
Frostee Rucker,3036,DI,ARZ,16,0,5.0,100.0,0.3,1.0,1.0,1,0,1,100.0,1,63.4,61.2,42.2,55.7,67.0,36.1,0,8,0.0,0,0,4,100.0,1,1,362,3,1,1,0,8,3,8.0,8.0
Elvis Dumervil,3071,ED,SF,16,0,,,0.7,,,0,0,0,,28,63.4,68.3,31.1,73.5,45.0,54.9,0,,50.0,1,0,3,0.0,0,2,291,7,1,0,0,0,0,0.0,
Kyle Williams,3079,DI,BUF,17,1,,,1.0,,,0,0,0,,4,57.3,64.8,60.2,62.0,66.6,53.7,0,,40.0,2,0,3,0.0,0,5,501,4,2,0,0,0,0,0.0,
Antoine Bethea,3152,S,ARZ,15,3,13.9,72.7,98.4,29.5,21.5,0,1,3,13.6,1,87.6,86.4,30.7,76.5,80.6,86.6,5,54,6.3,2,2,2,84.5,16,503,511,6,27,22,1,244,102,0.5,15.3
Tom Johnson,3378,DI,MIN,18,1,,,0.4,,,1,0,0,,18,62.1,64.3,40.7,61.8,67.6,50.6,0,,50.0,3,0,5,0.0,0,2,544,4,2,0,0,0,0,0.0,
Tramon Williams,3558,CB,ARZ,13,0,10.7,49.2,99.5,13.2,6.5,0,2,11,17.5,1,83.8,81.5,87.5,56.8,59.2,84.7,2,41,0.0,0,10,2,58.4,31,436,438,10,34,63,1,351,111,0.9,11.3
Brent Grimes,3589,CB,TB,13,1,12.7,62.5,100.0,10.9,6.8,0,0,11,15.3,30,75.2,74.1,86.5,,61.1,58.2,3,38,9.8,4,8,0,73.8,45,521,521,10,36,72,1,559,171,1.1,12.4
Darrelle Revis,3630,CB,KC,6,0,11.5,63.2,100.0,13.0,8.2,0,0,2,10.5,16,59.4,60.6,83.6,,63.1,61.8,0,22,18.2,2,1,1,86.7,12,165,165,2,9,19,0,146,43,0.9,12.2
Lawrence Timmons,3631,LB,MIA,14,5,3.3,78.9,84.7,7.6,6.0,0,0,3,5.3,17,59.2,53.7,84.2,58.6,47.9,47.8,0,31,10.3,4,1,0,112.9,45,365,431,20,30,57,3,393,282,1.1,8.7
Leon Hall,3634,CB,SF,9,1,9.8,69.2,96.1,15.3,10.6,0,0,1,7.7,28,51.4,53.6,82.1,66.1,65.0,41.7,0,24,26.7,4,1,0,105.6,9,147,153,1,10,13,0,143,60,1.0,15.9
Reggie Nelson,3637,S,OAK,16,4,10.4,55.2,97.0,34.6,19.1,1,2,4,13.8,23,52.9,63.8,90.2,55.8,81.9,74.6,1,34,12.2,5,3,2,80.8,16,583,601,8,32,29,1,248,136,0.4,15.5
Paul Posluszny,3650,LB,JAX,19,3,5.4,78.6,93.3,10.1,8.0,0,1,3,10.7,15,88.6,87.5,82.6,73.7,72.9,85.2,0,43,0.0,0,3,0,109.4,22,238,255,11,25,28,1,207,96,0.9,9.4
Eric Weddle,3653,S,BLT,16,0,7.1,70.8,95.2,35.5,25.2,0,2,2,8.3,3,76.1,73.3,90.6,68.9,60.8,48.1,6,57,13.3,4,2,0,70.5,17,638,670,6,26,24,1,202,119,0.3,11.9
David Harris,3663,LB,NE,8,2,1.8,62.5,84.2,15.6,9.8,0,0,1,12.5,19,65.4,61.0,78.4,69.1,52.8,46.5,0,17,40.0,2,1,0,75.5,5,80,95,1,1,8,0,41,45,0.5,8.2
Justin Durant,3664,LB,DAL,7,1,8.4,85.7,76.8,11.5,9.9,0,0,0,0.0,9,57.2,59.3,80.9,51.4,64.9,44.1,0,38,0.0,0,0,0,118.8,6,76,99,2,3,7,0,94,41,1.4,15.7
Charles Johnson,3699,ED,CAR,12,1,7.5,100.0,3.6,4.0,4.0,0,0,0,0.0,5,52.0,52.6,28.5,54.0,65.8,31.4,0,16,40.0,2,0,5,116.7,2,9,251,3,2,2,0,24,9,3.0,12.0
Brandon Mebane,3701,DI,LAC,16,1,,,1.8,,,0,0,0,,27,56.5,49.8,76.4,47.0,54.4,43.9,0,,33.3,1,0,1,0.0,0,5,281,0,1,0,0,0,0,0.0,
Brian Robison,3718,ED,MIN,17,0,,,3.8,,,0,0,0,,18,73.5,62.9,78.3,59.3,60.3,73.1,0,,0.0,0,0,1,0.0,0,17,446,6,3,0,0,0,0,0.0,
Corey Graham,3784,S,PHI,17,1,4.9,81.8,97.4,19.6,16.0,0,1,1,4.5,24,79.3,75.5,82.3,66.1,52.4,55.7,3,24,9.1,3,1,1,54.9,18,377,387,8,29,22,0,147,108,0.4,8.2
William Gay,3786,CB,PIT,17,1,6.5,78.3,99.6,13.2,10.3,0,1,3,13.0,25,62.7,59.3,0.0,59.1,52.5,42.5,1,40,15.8,3,2,3,97.8,18,248,249,5,15,23,1,192,114,0.8,10.7
