player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Oren Burks,50203,LB,GB,10,1,7.6,60.0,97.7,13.7,8.2,0,0,0,0.0,12,36.1,45.3,74.3,60.0,66.5,80.1,0,32,0.0,0,0,0,104.2,3,43,44,0,0,5,0,66,42,1.6,22.0
Rashaan Evans,50213,LB,TEN,19,10,7.2,81.4,75.3,10.3,8.4,0,1,1,1.7,31,41.1,47.7,27.5,47.0,66.7,65.1,0,61,16.1,10,1,5,127.0,48,526,699,15,42,59,3,614,316,1.2,12.8
Sharif Finch,50221,ED,TEN,8,0,,,2.9,,,0,0,0,,31,74.1,61.7,84.7,59.2,56.0,78.2,0,,0.0,0,0,0,0.0,0,3,104,3,2,0,0,0,0,0.0,
Josh Allen,50235,ED,JAX,16,1,4.5,75.0,5.6,7.7,5.8,0,0,0,0.0,15,51.1,68.4,80.5,70.2,60.0,53.0,0,9,25.0,2,0,2,85.4,3,23,411,14,5,4,0,20,19,0.9,6.7
Marquis Haynes,50244,ED,CAR,11,3,,,4.1,,,0,0,0,,5,74.0,58.9,58.5,58.2,55.9,58.1,0,,25.0,1,0,1,0.0,0,6,145,1,0,0,0,0,0,0.0,
Porter Gustin,50290,ED,CLV,6,0,,,1.7,,,0,0,0,,8,61.1,65.6,87.1,56.8,68.6,77.4,0,,,0,0,0,0.0,0,2,118,0,0,0,0,0,0,0.0,
Marcus Davenport,50291,ED,NO,13,1,6.0,0.0,7.6,,28.0,1,0,0,0.0,20,76.7,84.1,60.3,73.6,82.4,59.4,0,,16.7,1,0,2,39.6,0,29,384,9,4,1,0,0,0,0.0,
Christian Wilkins,50293,DI,MIA,16,1,3.0,100.0,2.2,8.0,8.0,0,0,1,100.0,17,61.8,64.4,56.6,58.6,66.6,70.7,0,10,0.0,0,1,3,108.3,1,8,361,2,1,1,0,10,7,1.3,10.0
Xavier Crawford,50326,CB,MIA,2,0,,,100.0,,,0,0,0,,17,48.1,48.3,70.0,,60.0,,0,,,0,0,0,0.0,0,6,6,0,0,0,0,0,0,0.0,
Cornell Armstrong,50351,CB,HST,4,0,15.9,71.4,100.0,8.0,5.7,0,0,0,0.0,13,34.4,38.7,75.7,,70.2,47.5,0,31,25.0,1,0,0,113.7,5,41,41,1,3,7,0,115,41,2.9,23.0
Nate Meadors,50353,CB,MIN,2,0,9.7,100.0,90.0,3.0,3.0,0,0,0,0.0,18,45.0,45.4,73.0,60.0,60.0,75.4,0,12,0.0,0,0,0,149.3,3,9,10,0,2,3,2,31,8,3.4,10.3
Nik Needham,50356,CB,MIA,12,4,12.4,60.0,96.7,9.1,5.5,4,0,8,10.7,17,60.0,59.9,34.1,67.0,61.4,64.1,2,51,9.8,4,6,10,117.2,45,439,454,12,33,75,9,660,187,1.6,14.7
Cole Luke,50361,CB,CAR,2,0,5.0,100.0,100.0,3.0,3.0,0,0,0,0.0,5,54.0,43.0,74.1,,41.9,29.6,0,10,0.0,0,0,0,100.0,2,7,7,0,2,2,0,16,6,2.7,8.0
Anthony Averett,50365,CB,BLT,9,2,14.2,52.9,98.8,8.6,4.6,2,1,4,11.8,3,41.2,44.6,84.7,56.0,68.9,55.4,0,49,17.6,3,1,3,84.7,18,164,166,0,12,34,1,234,43,1.5,13.0
Tre Herndon,50380,CB,JAX,15,2,15.1,48.7,99.8,13.5,6.6,3,1,10,13.2,15,54.1,54.7,41.7,59.1,61.0,43.9,3,44,14.3,6,10,9,79.0,37,531,532,2,34,76,4,643,204,1.3,17.4
Isaiah Oliver,50393,CB,ATL,16,3,10.3,67.0,99.8,9.3,6.2,2,1,12,13.6,2,54.5,56.8,66.8,60.0,64.6,68.5,0,39,10.9,6,10,9,106.9,59,584,585,7,46,88,3,794,361,1.5,13.5
Jeremy Reaves,50406,S,WAS,5,0,18.7,33.3,96.3,50.0,16.7,0,0,1,33.3,32,57.4,64.2,0.0,66.3,74.8,66.5,0,20,25.0,1,1,1,57.6,1,52,54,0,3,3,0,20,7,0.4,20.0
Holton Hill,50414,CB,MIN,8,0,13.2,70.0,100.0,15.4,10.8,0,0,1,10.0,18,61.9,63.7,80.9,,66.7,52.3,0,20,11.1,1,1,0,131.3,7,108,108,2,8,10,1,90,15,0.8,12.9
Josh Jackson,50417,S,GB,8,1,6.5,87.5,96.6,11.7,10.3,0,0,0,0.0,12,59.6,60.4,78.6,54.1,65.0,48.2,0,19,20.0,1,0,0,143.8,7,85,88,1,3,8,1,72,22,0.9,10.3
Juan Thornhill,50426,S,KC,16,5,12.0,56.0,97.6,41.1,23.0,0,0,3,12.0,16,78.0,71.5,65.3,51.3,55.9,41.8,3,21,18.2,6,2,1,69.9,14,617,632,3,22,25,4,127,58,0.2,9.1
Emmanuel Moseley,50430,CB,SF,18,2,11.0,60.0,99.6,11.1,6.6,0,0,7,10.0,28,68.0,70.4,87.7,75.0,72.9,66.4,2,88,12.0,6,6,2,80.2,42,491,493,9,42,70,2,512,207,1.1,12.2
Blessuan Austin,50434,CB,NYJ,7,1,8.6,61.8,99.6,11.3,7.0,0,1,4,11.8,22,69.9,71.4,85.5,58.8,72.8,52.7,0,29,19.0,4,3,1,92.4,21,247,248,7,16,34,1,237,100,1.0,11.3
Natrell Jamerson,50440,CB,CAR,1,0,,,100.0,,,0,0,0,,5,63.6,64.2,66.3,,,72.5,0,,0.0,0,0,0,0.0,0,2,2,1,1,0,0,0,0,0.0,
Sheldrick Redwine,50458,S,CLV,8,3,4.1,81.8,95.0,20.4,16.7,0,1,2,18.2,8,68.4,66.4,81.6,72.9,54.3,40.3,0,24,13.6,3,2,0,133.0,9,191,201,2,16,11,1,95,74,0.5,10.6
Grant Haley,50473,CB,NYG,10,0,7.7,85.7,95.0,6.4,5.5,0,0,1,2.4,21,50.7,55.4,83.7,68.2,66.9,80.5,0,39,9.7,3,0,1,115.0,36,247,260,11,28,42,1,407,225,1.8,11.3
Parry Nickerson,50511,CB,JAX,1,0,27.0,50.0,100.0,23.0,11.5,0,0,0,0.0,15,54.0,51.7,75.3,,48.6,76.7,0,10,0.0,0,0,0,64.6,1,23,23,1,3,2,0,10,4,0.4,10.0
Kareem Orr,50513,CB,TEN,1,1,12.0,33.3,100.0,32.0,10.7,0,0,0,0.0,31,57.5,57.4,78.2,,56.6,81.8,0,6,0.0,0,0,0,42.4,1,33,33,0,5,3,0,6,0,0.2,6.0
Amani Oruwariye,50533,CB,DET,7,1,11.5,81.8,99.3,7.8,6.4,0,0,1,4.5,11,75.3,71.4,81.2,58.6,46.0,68.5,2,25,0.0,0,0,0,108.5,18,146,147,5,16,22,3,212,66,1.5,11.8
Mike Ford,50535,CB,DET,9,0,12.9,55.6,100.0,11.5,6.4,1,0,1,5.6,11,56.9,56.9,0.0,,70.6,63.7,0,41,11.1,1,1,3,94.7,10,124,124,3,8,18,1,120,29,1.0,12.0
Avonte Maddox,50543,CB,PHI,13,2,9.2,64.8,98.2,8.8,5.7,0,1,11,15.5,24,54.6,55.9,85.5,67.1,57.6,65.9,0,54,11.4,5,8,2,104.3,46,435,443,14,37,71,3,582,302,1.4,12.7
Brandon Facyson,50564,CB,LAC,11,1,10.7,69.2,100.0,10.3,7.2,0,1,1,3.8,27,53.4,60.3,84.7,,76.8,67.2,0,27,8.7,2,1,1,114.4,18,195,195,3,20,26,2,181,21,1.0,10.1
