player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Julius Peppers,1010,ED,CAR,16,0,9.0,50.0,3.1,11.0,5.5,1,0,1,50.0,5,72.0,75.8,65.2,66.7,73.4,80.3,0,18,0.0,0,1,2,81.3,1,11,355,7,2,2,0,18,11,1.6,18.0
Terrell Suggs,1326,ED,BLT,17,1,4.2,55.6,13.2,13.2,7.3,1,1,2,22.2,3,55.8,69.5,50.5,73.0,63.3,44.3,0,31,50.0,4,0,4,81.7,5,71,539,8,3,9,0,72,59,1.1,14.4
Mike Adams,1972,S,CAR,16,6,12.4,79.4,94.6,19.8,15.7,0,1,2,5.9,5,42.1,49.2,66.2,67.3,61.8,82.2,3,75,5.6,2,2,1,121.6,27,566,598,4,28,34,5,446,155,0.8,16.5
Adam Jones,2223,CB,DEN,6,1,7.7,66.7,100.0,9.5,6.3,0,0,3,20.0,10,62.8,64.2,81.3,,68.0,44.0,1,30,27.3,3,2,1,54.9,10,102,102,1,7,15,0,90,62,0.9,9.0
Thomas Davis Sr.,2231,LB,CAR,12,4,4.9,76.6,83.1,8.7,6.7,0,0,5,10.6,5,74.4,73.9,86.0,74.0,62.9,66.9,0,28,7.7,3,5,0,110.2,36,330,397,14,32,47,2,340,214,1.1,9.4
Derrick Johnson,2232,LB,OAK,6,0,8.7,100.0,88.1,27.0,27.0,0,0,0,0.0,23,68.6,65.2,79.6,46.7,60.1,42.6,0,11,22.2,2,0,0,106.9,3,89,101,4,7,3,0,29,3,0.4,9.7
Darren Sproles,2347,HB,PHI,2,0,,,100.0,,,0,0,0,,24,60.7,73.1,60.0,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Lorenzo Alexander,2476,LB,BUF,16,3,2.5,76.7,35.5,5.6,4.3,0,1,4,13.3,4,79.8,86.6,88.2,70.5,82.5,82.5,2,22,8.3,2,3,0,61.9,23,132,372,12,19,30,0,171,137,1.3,7.4
Haloti Ngata,2957,DI,PHI,15,0,,,0.8,,,0,0,0,,24,58.2,69.4,85.4,56.8,73.5,46.3,0,,,0,0,0,0.0,0,2,242,1,0,0,0,0,0,0.0,
Johnathan Joseph,2969,CB,HST,15,4,10.5,57.3,99.5,10.5,6.0,0,1,9,10.1,13,81.1,80.8,87.5,55.3,69.6,35.9,2,48,15.6,10,7,1,76.5,51,567,570,17,50,89,2,610,181,1.1,12.0
Frostee Rucker,3036,ED,OAK,15,0,26.0,0.0,2.5,,5.0,0,0,0,0.0,23,65.4,62.0,90.3,48.9,65.1,34.9,0,,0.0,0,0,0,39.6,0,6,238,0,2,1,0,0,0,0.0,
Kyle Williams,3079,DI,BUF,16,1,,,1.0,,,0,0,0,,4,62.8,70.6,64.8,65.5,69.2,56.8,0,,16.7,1,0,2,0.0,0,4,417,7,4,0,0,0,0,0.0,
Antoine Bethea,3152,S,ARZ,16,6,8.1,74.5,92.5,15.3,11.4,0,2,5,10.6,1,73.5,64.2,38.7,61.3,52.0,62.7,0,21,8.3,5,3,4,99.8,35,566,612,13,49,47,2,242,147,0.5,6.9
Tom Johnson,3378,DI,MIN,14,0,,,0.4,,,0,0,0,,18,73.3,61.3,68.0,61.3,53.6,76.5,0,,0.0,0,0,1,0.0,0,1,252,6,4,0,0,0,0,0.0,
Tramon Williams,3558,S,GB,16,5,10.3,62.7,97.6,18.2,11.4,0,0,5,9.8,12,62.6,63.3,88.7,50.3,63.3,66.5,0,55,7.5,3,2,1,125.6,32,622,637,9,32,51,8,387,166,0.7,12.1
Brent Grimes,3589,CB,TB,13,2,11.7,69.2,99.8,11.9,8.3,1,1,5,9.6,30,61.0,61.3,86.6,60.0,58.1,71.9,0,43,6.5,2,5,3,116.3,36,449,450,4,27,52,3,465,139,1.1,12.9
Leon Hall,3634,CB,OAK,10,1,5.9,88.0,94.1,8.9,7.8,0,0,2,8.0,23,57.1,63.3,83.1,57.8,83.4,62.8,0,59,17.6,3,2,0,118.8,22,209,222,7,13,25,0,333,224,1.7,15.1
Reggie Nelson,3637,S,OAK,11,0,16.5,58.3,93.4,28.1,16.4,0,0,0,0.0,23,63.4,63.2,83.3,55.4,60.4,55.5,2,49,14.3,2,0,0,95.1,7,214,229,1,12,12,2,128,31,0.6,18.3
Eric Weddle,3653,S,BLT,17,3,8.9,56.3,94.8,34.7,19.5,1,0,3,9.4,3,78.6,82.3,90.0,70.9,86.3,84.9,0,22,8.1,3,3,1,63.4,18,671,708,9,31,32,0,111,45,0.2,6.2
Brandon Mebane,3701,DI,LAC,13,0,,,4.2,,,0,0,0,,27,68.2,61.8,61.0,56.4,62.4,67.2,0,,0.0,0,0,2,0.0,0,10,238,2,4,0,0,0,0,0.0,
Corey Graham,3784,S,PHI,15,3,10.7,75.0,97.0,34.4,25.8,0,1,4,20.0,24,64.5,65.9,85.8,55.0,67.9,73.5,1,27,7.9,3,3,2,82.5,15,542,559,8,32,20,1,106,46,0.2,7.1
Chris Long,4316,ED,PHI,18,1,0.0,100.0,1.2,6.0,6.0,0,0,0,0.0,24,51.6,75.4,79.6,71.4,69.5,52.6,0,2,55.6,5,0,1,79.2,1,6,512,8,3,1,0,2,2,0.3,2.0
Dominique Rodgers-Cromartie,4330,CB,OAK,5,1,14.0,60.0,100.0,11.0,6.6,0,0,2,20.0,23,75.1,67.0,80.2,,39.2,29.3,0,15,28.6,2,2,1,69.6,6,72,72,2,4,10,0,42,25,0.6,7.0
Aqib Talib,4334,CB,LA,11,5,10.7,63.6,99.7,11.7,7.4,1,1,4,9.1,26,75.2,76.6,85.2,60.0,70.8,89.9,1,50,0.0,0,3,2,87.7,28,345,346,3,26,44,1,364,147,1.1,13.0
Calais Campbell,4364,ED,JAX,16,1,-5.0,100.0,0.4,2.0,2.0,0,0,0,0.0,15,74.8,90.9,56.6,70.4,93.6,67.8,0,4,28.6,2,0,5,83.3,1,2,504,13,4,1,0,4,9,2.0,4.0
Brandon Carr,4454,CB,BLT,17,4,12.1,56.6,97.5,12.2,6.9,1,0,16,19.3,3,71.9,70.8,65.8,52.2,66.0,68.5,2,51,10.4,5,9,5,70.6,47,613,629,12,39,83,0,625,282,1.1,13.3
Orlando Scandrick,4457,CB,KC,15,1,12.2,52.7,100.0,11.2,5.9,3,2,17,18.3,16,70.2,70.0,35.9,,72.2,53.1,1,32,15.2,7,12,11,81.1,49,598,598,14,38,93,5,483,134,0.9,9.9
Wesley Woodyard,4583,LB,TEN,14,7,4.7,72.1,86.2,12.0,8.6,0,0,2,4.7,31,71.1,72.2,86.4,58.9,69.4,84.5,0,44,4.8,2,1,0,101.2,31,393,456,18,33,43,1,323,204,0.9,10.4
Cameron Wake,4907,ED,MIA,14,1,4.0,100.0,1.9,6.0,6.0,0,0,0,0.0,17,54.3,81.7,66.7,81.3,70.0,70.7,0,26,20.0,1,0,2,118.8,1,6,319,7,3,1,0,26,22,4.3,26.0
Brian Orakpo,4936,ED,TEN,13,1,5.1,80.0,15.4,6.4,5.1,0,0,0,0.0,31,77.7,68.2,89.3,63.4,58.0,29.0,0,20,23.1,3,0,0,95.4,8,56,363,6,9,10,0,69,37,1.4,8.6
Malcolm Jenkins,4937,S,PHI,18,5,7.0,77.8,92.6,13.0,10.1,0,1,6,8.3,24,85.5,79.6,86.6,57.2,66.6,66.8,1,75,12.8,10,5,1,106.3,56,760,821,26,63,72,3,545,322,0.7,9.7
Vontae Davis,4948,CB,BUF,1,0,18.0,100.0,100.0,17.0,17.0,0,0,0,0.0,4,62.3,59.4,74.7,,51.3,72.8,0,10,0.0,0,0,0,147.9,1,17,17,1,1,1,1,10,0,0.6,10.0
Clay Matthews,4949,ED,GB,16,2,1.8,100.0,17.4,8.2,8.2,0,0,1,11.1,12,64.0,65.3,65.9,62.7,64.3,36.6,0,34,9.1,1,0,4,116.2,9,79,455,10,8,9,0,107,91,1.4,11.9
Patrick Chung,4957,S,NE,18,1,7.3,68.0,92.0,12.2,8.3,0,0,4,5.3,19,78.1,72.7,71.6,61.2,59.9,84.0,1,29,7.1,4,3,3,100.4,51,658,715,18,51,75,5,449,239,0.7,8.8
Connor Barwin,4969,ED,NYG,15,0,4.0,0.0,4.0,,6.0,0,1,0,0.0,21,74.0,47.8,68.5,57.0,35.5,57.7,0,,0.0,0,0,1,39.6,0,7,176,2,1,1,0,0,0,0.0,
Mike Mitchell,4970,S,IND,9,0,5.3,84.6,96.9,13.6,11.5,0,0,0,0.0,14,77.9,81.1,83.4,54.0,72.4,62.5,1,18,15.8,3,0,0,60.6,11,157,162,7,16,13,0,81,46,0.5,7.4
Michael Johnson,4993,ED,CIN,15,0,,,0.9,,,0,0,0,,7,63.6,57.5,76.7,47.3,64.8,35.3,1,,0.0,0,0,1,0.0,0,2,234,1,2,0,0,0,0,0.0,
Glover Quin,5035,S,DET,16,3,10.2,66.7,98.6,22.6,15.1,1,2,5,16.7,11,63.4,66.1,59.8,61.8,70.5,60.8,0,42,5.7,2,2,2,108.2,20,480,487,3,30,30,1,284,104,0.6,14.2
Jason McCourty,5127,CB,NE,19,3,12.8,59.0,99.3,11.2,6.6,1,2,16,16.0,19,83.3,82.3,88.0,51.5,69.6,84.2,1,67,6.0,4,13,1,94.5,59,694,699,16,60,100,4,818,298,1.2,13.9
Captain Munnerlyn,5140,CB,CAR,16,6,7.8,67.6,91.6,7.9,5.3,2,1,8,10.8,5,60.3,61.6,57.8,65.1,65.1,76.2,1,43,7.5,3,8,4,85.4,50,414,452,14,31,74,1,499,255,1.3,10.0
Clinton McDonald,5173,DI,OAK,15,0,,,0.9,,,0,0,0,,23,65.8,64.4,87.5,53.3,65.3,66.4,0,,20.0,1,0,0,0.0,0,2,217,5,4,0,0,0,0,0.0,
Michael Bennett,5273,ED,PHI,18,1,7.0,100.0,1.8,11.0,11.0,2,0,0,0.0,24,61.7,75.8,41.3,74.9,70.6,43.9,0,16,57.1,4,0,7,118.8,1,11,620,10,2,1,0,16,9,1.5,16.0
Ramon Humber,5310,LB,NE,4,0,0.5,83.3,87.2,6.2,5.2,0,0,1,16.7,19,58.6,54.5,76.5,51.8,54.7,29.3,0,17,66.7,2,1,0,97.9,5,34,39,1,1,6,0,45,45,1.5,9.0
Ndamukong Suh,5527,DI,LA,19,3,,,0.6,,,1,0,0,,26,74.7,80.0,41.5,68.0,82.4,62.7,0,,0.0,0,0,8,0.0,0,4,671,11,9,0,0,0,0,0.0,
Gerald McCoy,5528,DI,TB,14,1,,,0.2,,,1,0,0,,30,64.9,76.7,58.1,66.6,78.1,49.7,0,,25.0,1,0,4,0.0,0,1,449,7,2,0,0,0,0,0.0,
Eric Berry,5530,S,KC,3,1,12.1,71.4,96.2,18.0,12.9,0,1,1,14.3,16,61.7,62.4,82.1,67.9,58.8,75.0,0,26,0.0,0,0,0,145.8,5,100,104,1,6,7,1,75,13,0.8,15.0
Joe Haden,5532,CB,PIT,15,5,13.0,59.6,100.0,10.4,6.2,0,3,12,12.8,25,70.9,70.9,87.8,,63.5,46.3,2,38,14.8,8,9,5,81.0,56,616,616,10,41,94,4,540,153,0.9,9.6
Tyson Alualu,5535,DI,PIT,15,1,,,0.6,,,0,0,0,,25,65.3,63.2,84.5,55.9,62.4,65.3,0,,33.3,1,0,0,0.0,0,1,174,1,1,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,18,3,,,1.3,,,0,0,0,,24,76.6,88.6,78.1,77.8,81.3,62.5,0,,27.3,3,0,3,0.0,0,8,626,7,5,0,0,0,0,0.0,
Earl Thomas III,5539,S,SEA,4,1,11.0,50.0,97.2,44.3,22.2,0,0,2,33.3,29,90.6,91.3,13.0,64.0,71.5,90.4,3,22,0.0,0,1,1,73.6,3,140,144,5,11,6,1,43,7,0.3,14.3
Jason Pierre-Paul,5540,ED,TB,16,0,2.0,100.0,2.9,16.0,16.0,3,0,0,0.0,30,68.6,60.1,33.0,58.3,63.7,39.8,0,4,38.5,5,0,8,83.3,1,16,552,16,8,1,0,4,2,0.3,4.0
Derrick Morgan,5541,ED,TEN,13,0,4.2,100.0,11.2,6.8,6.8,0,1,0,0.0,31,62.4,61.2,74.9,60.7,58.3,59.0,0,22,16.7,1,0,1,109.2,5,36,322,1,5,5,0,51,30,1.5,10.2
Kareem Jackson,5545,CB,HST,17,6,9.4,64.0,97.8,11.2,7.2,0,2,14,15.7,13,74.2,79.2,88.5,64.3,89.9,68.8,2,30,15.3,9,10,6,77.0,57,672,687,14,44,89,0,661,262,1.0,11.6
Devin McCourty,5552,S,NE,19,4,9.7,67.3,98.2,21.7,14.6,0,0,5,9.6,19,83.9,80.6,87.0,48.3,74.5,82.8,1,27,5.9,3,3,0,110.3,35,802,817,8,44,52,5,351,124,0.5,10.0
Jerry Hughes,5556,ED,BUF,16,1,8.6,60.0,6.6,9.3,5.6,1,1,0,0.0,4,58.2,87.9,47.7,90.4,72.3,47.1,0,17,41.7,5,0,5,78.8,3,28,425,11,6,5,0,32,6,1.1,10.7
Patrick Robinson,5557,CB,NO,3,1,3.9,85.7,98.7,11.3,9.7,1,0,0,0.0,20,66.1,66.9,79.6,59.1,67.2,56.0,0,23,16.7,1,0,2,98.8,6,74,75,2,4,7,0,54,24,0.8,9.0
Rob Gronkowski,5567,TE,NE,2,0,,,100.0,,,1,0,0,,19,45.1,44.0,64.4,,,,0,,,0,0,6,0.0,0,2,2,0,0,0,0,0,0,0.0,
Carlos Dunlap,5579,ED,CIN,16,0,,,2.2,,,2,0,0,,7,63.6,78.2,44.9,67.4,86.5,67.4,0,,20.0,1,0,6,0.0,0,12,548,10,4,0,0,0,0,0.0,
Sean Lee,5580,LB,DAL,9,4,7.8,76.9,88.1,11.7,9.0,0,0,1,7.7,9,53.0,57.8,83.2,59.0,63.8,56.2,0,36,20.0,3,1,0,113.6,10,126,143,6,8,13,0,148,84,1.3,14.8
Morgan Burnett,5596,S,PIT,11,3,14.3,59.3,94.3,15.0,8.9,1,0,6,22.2,25,62.8,66.7,82.8,67.2,69.8,83.2,0,39,0.0,0,4,3,125.4,16,265,281,7,15,27,3,239,61,1.0,14.9
Earl Mitchell,5605,DI,SF,12,1,,,2.3,,,0,0,0,,28,56.1,62.8,87.3,56.1,63.5,67.0,0,,20.0,1,0,0,0.0,0,4,171,0,3,0,0,0,0,0.0,
Corey Peters,5607,DI,ARZ,15,0,,,1.0,,,0,0,0,,1,70.7,66.0,89.8,51.4,68.7,57.5,0,,33.3,3,0,0,0.0,0,4,402,5,6,0,0,0,0,0.0,
Andre Roberts,5612,WR,NYJ,1,0,,,100.0,,,0,0,0,,22,60.7,70.2,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Everson Griffen,5624,ED,MIN,11,0,14.0,0.0,2.6,,8.0,1,0,0,0.0,18,59.9,68.0,38.5,61.4,76.1,61.3,0,,100.0,1,0,5,39.6,0,9,341,5,0,1,0,0,0,0.0,
Geno Atkins,5643,DI,CIN,16,0,12.0,100.0,0.6,3.0,3.0,1,0,0,0.0,7,52.9,81.8,60.0,85.1,70.0,37.9,0,14,66.7,4,0,3,118.8,1,3,496,9,2,1,0,14,2,4.7,14.0
Al Woods,5646,DI,IND,14,0,12.0,100.0,7.4,13.0,13.0,1,0,0,0.0,14,51.1,59.1,53.0,62.4,66.9,27.2,0,13,33.3,1,0,2,118.8,1,14,188,1,2,1,0,13,1,1.0,13.0
Kendrick Lewis,5659,S,TEN,8,1,10.7,81.3,100.0,12.1,9.8,0,1,1,6.3,31,49.1,53.1,84.4,,66.5,70.8,0,55,20.0,3,1,0,130.7,13,165,165,1,11,16,1,166,71,1.1,12.8
Sherrick McManis,5667,CB,CHI,16,2,10.0,63.6,89.3,9.3,5.9,0,0,6,18.2,6,83.2,85.7,84.6,70.0,83.5,80.3,1,28,10.5,2,4,0,71.8,21,208,233,10,15,33,1,152,71,0.8,7.2
Reshad Jones,5686,S,MIA,14,3,10.7,66.7,97.0,22.8,15.2,1,1,6,22.2,17,71.7,72.1,61.7,70.2,68.6,67.8,3,73,11.1,4,5,1,72.2,18,448,462,8,29,27,1,271,97,0.7,15.1
